condition_observation_id,asset_surface_id,manor_id,manor_label,county_id,county_label,holding_type,governing_actor_boundary,governing_actor_id,governing_actor_name,surface_key,surface_name,condition_kind,condition_state,observation_cutpoint,project_link_count,project_ids,condition_basis,source_status,confidence,runtime_authority,uat1_display_state
condobs_estate_surface_c373398867f3061391e8,estate_surface_c373398867f3061391e8,manor_hx_22639,Manor of Wyreminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-001,Estate Core & Working Yard,physical_condition,under_construction,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_d382ebaa8e6fb0ca782f,estate_surface_d382ebaa8e6fb0ca782f,manor_hx_22639,Manor of Wyreminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-002,Storage & Handling,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_1bb76ad6a739633fe3f9,estate_surface_1bb76ad6a739633fe3f9,manor_hx_22639,Manor of Wyreminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-003,Livestock Yard & Stables,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_2a32d22e0933e3e8543d,estate_surface_2a32d22e0933e3e8543d,manor_hx_22639,Manor of Wyreminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-005,Drainage & Ditches,operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_3750165a221fe195c4cb,estate_surface_3750165a221fe195c4cb,manor_hx_22639,Manor of Wyreminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-006,"Commons, Pasture & Woodland Management",operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_d9c63f2eb33364316606,estate_surface_d9c63f2eb33364316606,manor_hx_22639,Manor of Wyreminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-008,Watch & Ward,operational_adequacy,impaired,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_e5ca55563bd636df6d01,estate_surface_e5ca55563bd636df6d01,manor_hx_22639,Manor of Wyreminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-009,Local Access Works,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_92485c39ef0752c7f3a1,estate_surface_92485c39ef0752c7f3a1,manor_hx_22639,Manor of Wyreminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-011,"Fishery, Harbor & Quay Works",physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_66e1472996032144af7c,estate_surface_66e1472996032144af7c,manor_hx_22639,Manor of Wyreminster,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-016,"Administrative, Court & Customs Facility",operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_bb11e2faaaec39df34c1,estate_surface_bb11e2faaaec39df34c1,manor_hx_22640,Manor of Wyrmchapel,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-001,Estate Core & Working Yard,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_82e6513ac03946d0f9a3,estate_surface_82e6513ac03946d0f9a3,manor_hx_22640,Manor of Wyrmchapel,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-002,Storage & Handling,physical_condition,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_a4de5604d412f5eab238,estate_surface_a4de5604d412f5eab238,manor_hx_22640,Manor of Wyrmchapel,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-003,Livestock Yard & Stables,physical_condition,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_f4c1775a73caa7150737,estate_surface_f4c1775a73caa7150737,manor_hx_22640,Manor of Wyrmchapel,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-004,Field System & Rotation,operational_adequacy,worn,1120-01-01,1,manorop_recon_repair_0788_estate_surface_f4c1775a73caa7150737,linked_project_completion_with_seeded_post_completion_reading,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_93ebc168159338e5a1eb,estate_surface_93ebc168159338e5a1eb,manor_hx_22640,Manor of Wyrmchapel,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-005,Drainage & Ditches,operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_9867606a605e55b5ce89,estate_surface_9867606a605e55b5ce89,manor_hx_22640,Manor of Wyrmchapel,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-006,"Commons, Pasture & Woodland Management",operational_adequacy,worn,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_b696fb7044a81a9fa5cd,estate_surface_b696fb7044a81a9fa5cd,manor_hx_22640,Manor of Wyrmchapel,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-008,Watch & Ward,operational_adequacy,repairing,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
condobs_estate_surface_d5b1c3f603113170640b,estate_surface_d5b1c3f603113170640b,manor_hx_22640,Manor of Wyrmchapel,c_6,Wyrmford,church_fief,church_institution,institution:church_fief_hx_29372,Church temporal package 29372,IE-016,"Administrative, Court & Customs Facility",operational_adequacy,sound,1120-01-01,0,,founder_worked_seeded_approximate_distribution,foundation_a_uat_seeded_condition_candidate,candidate_medium,false,admitted_read_only_condition_posture
