facility_id,facility_business_key,facility_kind,facility_type,parent_manor_id,parent_local_community_unit_id,jurisdiction,parent_asset_surface_id,parent_surface_key,operational_state,fortification_posture,coverage_requirement,coverage_state,named_post_assignment_id,functional_custody_assignment_id,fortification_profile_id,right_register_row_id,access_or_right_family,right_holder_entity_key,beneficiary_entity_key,appointing_authority_entity_key,security_responsibility_instance_id,security_accountable_owner_person_id,security_accountable_owner_person_name,franchise_instance_state,franchise_responsibility_instance_id,franchise_candidate_instance_key,franchise_candidate_owner_person_id,franchise_candidate_owner_person_name,revenue_instance_state,revenue_candidate_instance_key,revenue_candidate_owner_person_id,revenue_candidate_owner_person_name,gate_access_profile,custody_profile,equipment_or_armory_profile,standing_force_profile,condition_fact_state,security_identity_coverage_runtime_authority,operation_runtime_authority,fiscal_runtime_authority,current_pas_eligible,source_status,materialization_approval
impproj_step5ec_0d4a5916e140b7,fortification_project:impproj_step5ec_0d4a5916e140b7,future_fortification,fortification_or_garrison_work,manor_hx_35567,,Larkspire,estate_surface_47d2d1500471b4a664a5,IE-013,future_not_operational,future_opportunity_reserve,ordinary_local,future_not_operational,,,,,,House Larkspire,,,,,,not_applicable_until_operational,,,,,not_applicable_until_operational,,,,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_no_direct_current_condition_observation,1,false,false,false,admitted_security_facility_assignment_runtime_input,FOUNDER_APPROVED_PHASE_FIVE_SECURITY_MATERIALIZATION_2026_07_29
impproj_step5ec_154e5ba93d0e61,fortification_project:impproj_step5ec_154e5ba93d0e61,future_fortification,fortification_or_garrison_work,manor_hx_49581,,Ivydale,estate_surface_b120b720a7e2ba9bf5f5,IE-013,future_not_operational,future_opportunity_reserve,ordinary_local,future_not_operational,,,,,,church_fief_hx_49581,,,,,,not_applicable_until_operational,,,,,not_applicable_until_operational,,,,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_no_direct_current_condition_observation,1,false,false,false,admitted_security_facility_assignment_runtime_input,FOUNDER_APPROVED_PHASE_FIVE_SECURITY_MATERIALIZATION_2026_07_29
impproj_step5ec_1d597db1505268,fortification_project:impproj_step5ec_1d597db1505268,future_fortification,fortification_or_garrison_work,manor_hx_40033,,Eldham,estate_surface_3a65f4c7e9242dbcd9c4,IE-013,future_not_operational,future_opportunity_reserve,ordinary_local,future_not_operational,,,,,,house_dornelle_wood_river_j6wq,,,,,,not_applicable_until_operational,,,,,not_applicable_until_operational,,,,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_no_direct_current_condition_observation,1,false,false,false,admitted_security_facility_assignment_runtime_input,FOUNDER_APPROVED_PHASE_FIVE_SECURITY_MATERIALIZATION_2026_07_29
impproj_step5ec_2be6b075837ce8,fortification_project:impproj_step5ec_2be6b075837ce8,future_fortification,fortification_or_garrison_work,manor_hx_37256,,Falkenford,estate_surface_4cf36186d3055e75211f,IE-013,future_not_operational,future_opportunity_reserve,ordinary_local,future_not_operational,,,,,,house_xainval_hill_ypdu,,,,,,not_applicable_until_operational,,,,,not_applicable_until_operational,,,,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_no_direct_current_condition_observation,1,false,false,false,admitted_security_facility_assignment_runtime_input,FOUNDER_APPROVED_PHASE_FIVE_SECURITY_MATERIALIZATION_2026_07_29
impproj_step5ec_35f76fdf02b579,fortification_project:impproj_step5ec_35f76fdf02b579,future_fortification,fortification_or_garrison_work,manor_hx_31094,,Bramholt,estate_surface_266fe309c01b0478c621,IE-013,future_not_operational,future_opportunity_reserve,ordinary_local,future_not_operational,,,,,,church_fief_hx_31094,,,,,,not_applicable_until_operational,,,,,not_applicable_until_operational,,,,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_no_direct_current_condition_observation,1,false,false,false,admitted_security_facility_assignment_runtime_input,FOUNDER_APPROVED_PHASE_FIVE_SECURITY_MATERIALIZATION_2026_07_29
impproj_step5ec_370119416a2805,fortification_project:impproj_step5ec_370119416a2805,future_fortification,fortification_or_garrison_work,manor_hx_52682,,Kestrelford,estate_surface_e0d13464f3f23f4fc1a2,IE-013,future_not_operational,florent_county_initiative_current_site_candidate,ordinary_local,future_not_operational,,,,,,house_valcroix_low_east_oind,,,,,,not_applicable_until_operational,,,,,not_applicable_until_operational,,,,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_no_direct_current_condition_observation,1,false,false,false,admitted_security_facility_assignment_runtime_input,FOUNDER_APPROVED_PHASE_FIVE_SECURITY_MATERIALIZATION_2026_07_29
impproj_step5ec_39d692a65ea5e6,fortification_project:impproj_step5ec_39d692a65ea5e6,future_fortification,fortification_or_garrison_work,manor_hx_43982,,Falkenford,estate_surface_eb4c5257713fe70a7507,IE-013,future_not_operational,future_opportunity_reserve,ordinary_local,future_not_operational,,,,,,house_ivrel_north_v4vl,,,,,,not_applicable_until_operational,,,,,not_applicable_until_operational,,,,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_no_direct_current_condition_observation,1,false,false,false,admitted_security_facility_assignment_runtime_input,FOUNDER_APPROVED_PHASE_FIVE_SECURITY_MATERIALIZATION_2026_07_29
impproj_step5ec_3f5852a407d492,fortification_project:impproj_step5ec_3f5852a407d492,future_fortification,fortification_or_garrison_work,manor_hx_43091,,Dunmere,estate_surface_fc9d1ea4333cefa7502b,IE-013,future_not_operational,future_opportunity_reserve,ordinary_local,future_not_operational,,,,,,house_carvayne_vale_azui,,,,,,not_applicable_until_operational,,,,,not_applicable_until_operational,,,,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_no_direct_current_condition_observation,1,false,false,false,admitted_security_facility_assignment_runtime_input,FOUNDER_APPROVED_PHASE_FIVE_SECURITY_MATERIALIZATION_2026_07_29
impproj_step5ec_428b0f58b382b0,fortification_project:impproj_step5ec_428b0f58b382b0,future_fortification,fortification_or_garrison_work,manor_hx_33875,,Larkspire,estate_surface_202a19ede4a3873aa434,IE-013,future_not_operational,florent_county_initiative_current_site_candidate,ordinary_local,future_not_operational,,,,,,house_marelle_stone_bkoz,,,,,,not_applicable_until_operational,,,,,not_applicable_until_operational,,,,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_no_direct_current_condition_observation,1,false,false,false,admitted_security_facility_assignment_runtime_input,FOUNDER_APPROVED_PHASE_FIVE_SECURITY_MATERIALIZATION_2026_07_29
impproj_step5ec_4a771ac7fd5cbf,fortification_project:impproj_step5ec_4a771ac7fd5cbf,future_fortification,fortification_or_garrison_work,manor_hx_43147,,Falkenford,estate_surface_01b288b337616df55673,IE-013,future_not_operational,florent_county_initiative_current_site_candidate,ordinary_local,future_not_operational,,,,,,house_rocelin_high_elder_pz9a,,,,,,not_applicable_until_operational,,,,,not_applicable_until_operational,,,,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_or_not_independently_admitted,unknown_no_direct_current_condition_observation,1,false,false,false,admitted_security_facility_assignment_runtime_input,FOUNDER_APPROVED_PHASE_FIVE_SECURITY_MATERIALIZATION_2026_07_29
