project_id,source_project_id,source_kind,temporal_bucket,manor_id,manor_label,county_id,county_label,holding_type,governing_actor_boundary,governing_actor_id,governing_actor_name,asset_surface_id,surface_key,surface_name,catalog_package_id,catalog_package_name,project_kind,action_class,cost_profile,start_year,expected_completion_year,percent_complete_1120_candidate,state_1120_candidate,condition_basis,selection_basis,candidate_accountable_owner_person_id,candidate_accountable_owner_person_name,owner_assignment_basis,source_project_disposition,source_status,economy_bridge_state,runtime_authority,uat1_display_state
impproj_step5ec_00810137bf7114,impproj_step5ec_00810137bf7114,source_project_anchor,carry_in_1116,manor_hx_52112,Manor of Hazelham Hall,c_13,Ivydale,county_domain,house,t0h_01e78db01d2d91786414ba91,House Ivydale,estate_surface_f8779c8ac2c9906d4ec5,IE-001,Estate Core & Working Yard,EP-01,Estate Core & Residence,repair,repair,high,1116,1121,0.8,repairing_at_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_f3d1829b7481b5832b091f9d,Guillaume Glover the Red,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_028bb46f3521f6,impproj_step5ec_028bb46f3521f6,source_project_anchor,carry_in_1116,manor_hx_36647,Manor of Seamere,c_8,Dunmere,barony,house,t0h_cf2907dc4ebb463ac762008a,House Wickbury,estate_surface_a4fc7ab0893685ff36cf,IE-012,Church & Parish Service Asset,FACILITY,Church & Parish Service Asset,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_43e9efae475b10cebd5e9bf1,Gautier Chapman the Elder,source_project_owner_or_exact_manor_steward_fallback,candidate_institutional_project_pending_church_or_patronage_authority,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_05c5748932ad7b,impproj_step5ec_05c5748932ad7b,source_project_anchor,carry_in_1116,manor_hx_40888,Manor of Langgate,c_4,Northwych,barony,house,t0h_ac846fe53d043dcf885bbb08,House Eldbrook,estate_surface_2902f102d5116b411108,IE-012,Church & Parish Service Asset,FACILITY,Church & Parish Service Asset,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_04a7ae16594489a44927f497,Gautier Lister the Black,source_project_owner_or_exact_manor_steward_fallback,candidate_institutional_project_pending_church_or_patronage_authority,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_0630ad41b6c4da,impproj_step5ec_0630ad41b6c4da,source_project_anchor,carry_in_1116,manor_hx_54927,Manor of Greybarrow Court,c_14,Kestrelford,minor_lordship,house,t0h_e452616ca74afc29b193908b,House Redhall Court Greybarrow Court,estate_surface_adbcada7467038d621c4,IE-012,Church & Parish Service Asset,FACILITY,Church & Parish Service Asset,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_036fd3bbcc198d37d377b66b,Gautier Crofter,source_project_owner_or_exact_manor_steward_fallback,candidate_institutional_project_pending_church_or_patronage_authority,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_069ecff64e2661,impproj_step5ec_069ecff64e2661,source_project_anchor,carry_in_1116,manor_hx_43127,Manor of Hallowwick,c_9,Eldham,barony,house,t0h_5d30e003a60595c6fb0180ca,House Reedbrook,estate_surface_a50afec3a5c027ec1193,IE-008,Watch & Ward,FACILITY,Watch & Ward,upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_3a55ccc46fbfad601a2443cf,Gilbert Lister the White,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_0bc687a358652c,impproj_step5ec_0bc687a358652c,source_project_anchor,carry_in_1116,manor_hx_52382,Manor of Thornworth,c_13,Ivydale,barony,house,t0h_c5c7579082911302c00f4b98,House Hallowwick,estate_surface_17fc3654300a6c6baec1,IE-008,Watch & Ward,FACILITY,Watch & Ward,upgrade,build,high,1116,1121,0.8,under_construction_at_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_40edf486f62ecbd8073441cf,Adam Archer,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_0df5d0e9f35ef5,impproj_step5ec_0df5d0e9f35ef5,source_project_anchor,carry_in_1116,manor_hx_36644,Manor of Stoneford,c_8,Dunmere,minor_lordship,house,t0h_7f4c6cc73c77014057a019ab,House Stoneford,estate_surface_2c309e972b781234c16b,IE-016,"Administrative, Court & Customs Facility",FACILITY,"Administrative, Court & Customs Facility",upgrade,build,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_534a441fb3ae12b1f4cd66fb,Odo Nott,source_project_owner_or_exact_manor_steward_fallback,candidate_administrative_project_pending_operational_need_evidence,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_1225de36f33663,impproj_step5ec_1225de36f33663,source_project_anchor,carry_in_1116,manor_hx_33037,Manor of Bywold,c_2,Larkspire,church_fief,church_institution,institution:church_fief_hx_34157,Church temporal package 34157,estate_surface_7b907d0467dd20c68f89,IE-016,"Administrative, Court & Customs Facility",FACILITY,"Administrative, Court & Customs Facility",upgrade,build,high,1116,1121,0.8,under_construction_at_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_48f400bbf9132738fd9e7179,Hugh Scribner the Elder,source_project_owner_or_exact_manor_steward_fallback,candidate_administrative_project_pending_operational_need_evidence,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_140f22f88fd58c,impproj_step5ec_140f22f88fd58c,source_project_anchor,carry_in_1116,manor_hx_34489,Manor of Watchminster Hall,c_3,Merewatch,church_fief,church_institution,institution:church_fief_hx_34770,Church temporal package 34770,estate_surface_d979bb501d02325434d3,IE-005,Drainage & Ditches,FACILITY,Drainage & Ditches,repair,repair,high,1116,1120,0.92,completed_by_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_91de1688d1411931fa429284,Herbert Chapman the Elder,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
impproj_step5ec_150b986d83c05d,impproj_step5ec_150b986d83c05d,source_project_anchor,carry_in_1116,manor_hx_56332,Manor of Kestrelbury,c_14,Kestrelford,county_domain,house,t0h_01e78db01d2d91786414ba91,House Ivydale,estate_surface_baeceede6b78fa4aa2fd,IE-005,Drainage & Ditches,FACILITY,Drainage & Ditches,repair,repair,high,1116,1121,0.8,repairing_at_1120,source_candidate_condition_or_project_anchor,founder_worked_source_project_anchor,t0p_407fdb0b215a433f35c8cf2d,Michael Clerk,source_project_owner_or_exact_manor_steward_fallback,candidate_core_estate_project_pending_economy_and_authority_admission,source_candidate_only_step5ec_project,missing_exact_step5ec_project_fold_in_step6hp,false,admitted_read_only_candidate_history
