step6cs_exact_route_row_id,source_step6cp_execution_row_id,source_step6co_execution_row_id,source_full_route_row_id,source_component,regularity,flow_family,contract_family,resource_id,movement_annualized_amount_year,transport_load_score_year,supplier_entity_id,supplier_entity_label,supplier_sector,supplier_anchor_type,supplier_anchor_id,supplier_county,receiver_or_buyer_entity_id,receiver_or_buyer_entity_label,receiver_or_buyer_sector,receiver_or_buyer_anchor_type,receiver_or_buyer_anchor_id,receiver_or_buyer_county,county_corridor,movement_scope,likely_mode,route_confidence,atomic_counterparty_status,carrier_posture,primary_carrier_entity_id,primary_carrier_label,transport_fee_status,transport_service_fee_coin_year_candidate,right_allocation_candidate_count,right_allocated_net_coin_year_candidate,right_allocation_family_mix,right_allocation_row_id_mix,right_allocation_status_mix,underbuilt_corridor_status,underbuilt_project_row_ids,transport_layer_status,exact_route_master_status,pnl_opening_balance_disposition,working_authority_source_candidate,source_candidate_only,live_posting_authorized,live_route_authorized,live_pnl_fold_authorized,live_transport_cost_effect_authorized,live_toll_effect_authorized,live_inventory_mutation_authorized,live_resource_mutation_authorized,non_authorization_status
STEP6CS-EXACT-ROUTE-000001,STEP6CP-EXEC-00001,STEP6CO-EXEC-00001,STEP6CJ-ROUTE-00021852,step6bz_baseline_gl_route_demand,regular,tenant_in_kind_rent_claim_transfer,manor_output_distribution_contract,food,14.00,14.0000,lcu:lcu_rural_manor_hx_22639,lcu_rural_manor_hx_22639,Market/Midsize LCUs,manor,manor_hx_22639,Wyrmford,institution:church_fief_hx_29372,actor_church_fief_hx_29372,Episcopal Sees,holding_primary_manor,manor_hx_22639,Wyrmford,Wyrmford,same_anchor_or_on_site,on_site_or_manor_local,exact_anchor,exact_entity_and_endpoint,customary_delivery_or_manor_local_handling,lcu:lcu_rural_manor_hx_22639,lcu_rural_manor_hx_22639,no_paid_transport_fee_customary_local,0,0,0.00,,,,no_underbuilt_public_corridor_project_visible,,exact_no_paid_transport_candidate_review,exact_route_demand_candidate_ready_review_only,candidate_ready_for_pnl_review_not_live,true,true,false,false,false,false,false,false,false,source_candidate_review_only_step6cs_trade_route_master_refresh_no_live_route_no_live_ledger_no_pnl_fold_no_payment_no_due_no_arrear_no_obligation_no_settlement_no_opening_balance_no_stock_lock_no_debt_no_trade_price_no_route_cost_effect_no_toll_effect_no_toll_income_no_inventory_mutation_no_resource_mutation_no_runtime_mutation_no_schema_no_ui_no_turn_no_fixture_no_golden_no_source_status_promotion
STEP6CS-EXACT-ROUTE-000002,STEP6CP-EXEC-00002,STEP6CO-EXEC-00002,STEP6CJ-ROUTE-00021853,step6bz_baseline_gl_route_demand,regular,tenant_in_kind_rent_claim_transfer,manor_output_distribution_contract,materials,2.00,2.5000,lcu:lcu_rural_manor_hx_22639,lcu_rural_manor_hx_22639,Market/Midsize LCUs,manor,manor_hx_22639,Wyrmford,institution:church_fief_hx_29372,actor_church_fief_hx_29372,Episcopal Sees,holding_primary_manor,manor_hx_22639,Wyrmford,Wyrmford,same_anchor_or_on_site,on_site_or_manor_local,exact_anchor,exact_entity_and_endpoint,customary_delivery_or_manor_local_handling,lcu:lcu_rural_manor_hx_22639,lcu_rural_manor_hx_22639,no_paid_transport_fee_customary_local,0,0,0.00,,,,no_underbuilt_public_corridor_project_visible,,exact_no_paid_transport_candidate_review,exact_route_demand_candidate_ready_review_only,candidate_ready_for_pnl_review_not_live,true,true,false,false,false,false,false,false,false,source_candidate_review_only_step6cs_trade_route_master_refresh_no_live_route_no_live_ledger_no_pnl_fold_no_payment_no_due_no_arrear_no_obligation_no_settlement_no_opening_balance_no_stock_lock_no_debt_no_trade_price_no_route_cost_effect_no_toll_effect_no_toll_income_no_inventory_mutation_no_resource_mutation_no_runtime_mutation_no_schema_no_ui_no_turn_no_fixture_no_golden_no_source_status_promotion
STEP6CS-EXACT-ROUTE-000003,STEP6CP-EXEC-00003,STEP6CO-EXEC-00003,STEP6CJ-ROUTE-00021854,step6bz_baseline_gl_route_demand,regular,tenant_in_kind_rent_claim_transfer,manor_output_distribution_contract,goods,1.00,0.7500,lcu:lcu_rural_manor_hx_22639,lcu_rural_manor_hx_22639,Market/Midsize LCUs,manor,manor_hx_22639,Wyrmford,institution:church_fief_hx_29372,actor_church_fief_hx_29372,Episcopal Sees,holding_primary_manor,manor_hx_22639,Wyrmford,Wyrmford,same_anchor_or_on_site,on_site_or_manor_local,exact_anchor,exact_entity_and_endpoint,customary_delivery_or_manor_local_handling,lcu:lcu_rural_manor_hx_22639,lcu_rural_manor_hx_22639,no_paid_transport_fee_customary_local,0,0,0.00,,,,no_underbuilt_public_corridor_project_visible,,exact_no_paid_transport_candidate_review,exact_route_demand_candidate_ready_review_only,candidate_ready_for_pnl_review_not_live,true,true,false,false,false,false,false,false,false,source_candidate_review_only_step6cs_trade_route_master_refresh_no_live_route_no_live_ledger_no_pnl_fold_no_payment_no_due_no_arrear_no_obligation_no_settlement_no_opening_balance_no_stock_lock_no_debt_no_trade_price_no_route_cost_effect_no_toll_effect_no_toll_income_no_inventory_mutation_no_resource_mutation_no_runtime_mutation_no_schema_no_ui_no_turn_no_fixture_no_golden_no_source_status_promotion
STEP6CS-EXACT-ROUTE-000004,STEP6CP-EXEC-00004,STEP6CO-EXEC-00004,STEP6CJ-ROUTE-00021855,step6bz_baseline_gl_route_demand,regular,tenant_in_kind_rent_claim_transfer,manor_output_distribution_contract,food,1.00,1.0000,lcu:lcu_rural_manor_hx_22640,lcu_rural_manor_hx_22640,Market/Midsize LCUs,manor,manor_hx_22640,Wyrmford,institution:church_fief_hx_29372,actor_church_fief_hx_29372,Episcopal Sees,holding_primary_manor,manor_hx_22639,Wyrmford,Wyrmford,intra_county,water_possible,exact_anchor,exact_entity_and_endpoint,paid_common_carrier_no_specific_asset_visible,transport_pool:water:wyrmford:wyrmford,Wyrmford water carrier pool,candidate_paid_transport_service_fee,1,1,0.01,ports_coastal_external_market:1,STEP6CN-REPRICE-000156:1,right_allocation_candidate_ready_review_only:1,no_underbuilt_public_corridor_project_visible,,exact_paid_transport_fee_candidate_review,exact_route_demand_candidate_ready_review_only,candidate_ready_for_pnl_review_not_live,true,true,false,false,false,false,false,false,false,source_candidate_review_only_step6cs_trade_route_master_refresh_no_live_route_no_live_ledger_no_pnl_fold_no_payment_no_due_no_arrear_no_obligation_no_settlement_no_opening_balance_no_stock_lock_no_debt_no_trade_price_no_route_cost_effect_no_toll_effect_no_toll_income_no_inventory_mutation_no_resource_mutation_no_runtime_mutation_no_schema_no_ui_no_turn_no_fixture_no_golden_no_source_status_promotion
STEP6CS-EXACT-ROUTE-000005,STEP6CP-EXEC-00005,STEP6CO-EXEC-00005,STEP6CJ-ROUTE-00021856,step6bz_baseline_gl_route_demand,regular,tenant_in_kind_rent_claim_transfer,manor_output_distribution_contract,materials,1.00,1.2500,lcu:lcu_rural_manor_hx_22640,lcu_rural_manor_hx_22640,Market/Midsize LCUs,manor,manor_hx_22640,Wyrmford,institution:church_fief_hx_29372,actor_church_fief_hx_29372,Episcopal Sees,holding_primary_manor,manor_hx_22639,Wyrmford,Wyrmford,intra_county,water_favored_bulk,exact_anchor,exact_entity_and_endpoint,paid_common_carrier_no_specific_asset_visible,transport_pool:water:wyrmford:wyrmford,Wyrmford water carrier pool,candidate_paid_transport_service_fee,1,1,0.01,ports_coastal_external_market:1,STEP6CN-REPRICE-000156:1,right_allocation_candidate_ready_review_only:1,no_underbuilt_public_corridor_project_visible,,exact_paid_transport_fee_candidate_review,exact_route_demand_candidate_ready_review_only,candidate_ready_for_pnl_review_not_live,true,true,false,false,false,false,false,false,false,source_candidate_review_only_step6cs_trade_route_master_refresh_no_live_route_no_live_ledger_no_pnl_fold_no_payment_no_due_no_arrear_no_obligation_no_settlement_no_opening_balance_no_stock_lock_no_debt_no_trade_price_no_route_cost_effect_no_toll_effect_no_toll_income_no_inventory_mutation_no_resource_mutation_no_runtime_mutation_no_schema_no_ui_no_turn_no_fixture_no_golden_no_source_status_promotion
STEP6CS-EXACT-ROUTE-000006,STEP6CP-EXEC-00006,STEP6CO-EXEC-00006,STEP6CJ-ROUTE-00021857,step6bz_baseline_gl_route_demand,regular,tenant_in_kind_rent_claim_transfer,manor_output_distribution_contract,goods,1.00,0.7500,lcu:lcu_rural_manor_hx_22640,lcu_rural_manor_hx_22640,Market/Midsize LCUs,manor,manor_hx_22640,Wyrmford,institution:church_fief_hx_29372,actor_church_fief_hx_29372,Episcopal Sees,holding_primary_manor,manor_hx_22639,Wyrmford,Wyrmford,intra_county,water_possible,exact_anchor,exact_entity_and_endpoint,paid_common_carrier_no_specific_asset_visible,transport_pool:water:wyrmford:wyrmford,Wyrmford water carrier pool,candidate_paid_transport_service_fee,1,1,0.01,ports_coastal_external_market:1,STEP6CN-REPRICE-000156:1,right_allocation_candidate_ready_review_only:1,no_underbuilt_public_corridor_project_visible,,exact_paid_transport_fee_candidate_review,exact_route_demand_candidate_ready_review_only,candidate_ready_for_pnl_review_not_live,true,true,false,false,false,false,false,false,false,source_candidate_review_only_step6cs_trade_route_master_refresh_no_live_route_no_live_ledger_no_pnl_fold_no_payment_no_due_no_arrear_no_obligation_no_settlement_no_opening_balance_no_stock_lock_no_debt_no_trade_price_no_route_cost_effect_no_toll_effect_no_toll_income_no_inventory_mutation_no_resource_mutation_no_runtime_mutation_no_schema_no_ui_no_turn_no_fixture_no_golden_no_source_status_promotion
STEP6CS-EXACT-ROUTE-000007,STEP6CP-EXEC-00007,STEP6CO-EXEC-00007,STEP6CJ-ROUTE-00021858,step6bz_baseline_gl_route_demand,regular,tenant_in_kind_rent_claim_transfer,manor_output_distribution_contract,food,15.00,15.0000,lcu:lcu_rural_manor_hx_23194,lcu_rural_manor_hx_23194,Market/Midsize LCUs,manor,manor_hx_23194,Wyrmford,institution:church_fief_hx_29372,actor_church_fief_hx_29372,Episcopal Sees,holding_primary_manor,manor_hx_22639,Wyrmford,Wyrmford,intra_county,water_possible,exact_anchor,exact_entity_and_endpoint,paid_common_carrier_no_specific_asset_visible,transport_pool:water:wyrmford:wyrmford,Wyrmford water carrier pool,candidate_paid_transport_service_fee,1,1,0.13,ports_coastal_external_market:1,STEP6CN-REPRICE-000156:1,right_allocation_candidate_ready_review_only:1,no_underbuilt_public_corridor_project_visible,,exact_paid_transport_fee_candidate_review,exact_route_demand_candidate_ready_review_only,candidate_ready_for_pnl_review_not_live,true,true,false,false,false,false,false,false,false,source_candidate_review_only_step6cs_trade_route_master_refresh_no_live_route_no_live_ledger_no_pnl_fold_no_payment_no_due_no_arrear_no_obligation_no_settlement_no_opening_balance_no_stock_lock_no_debt_no_trade_price_no_route_cost_effect_no_toll_effect_no_toll_income_no_inventory_mutation_no_resource_mutation_no_runtime_mutation_no_schema_no_ui_no_turn_no_fixture_no_golden_no_source_status_promotion
STEP6CS-EXACT-ROUTE-000008,STEP6CP-EXEC-00008,STEP6CO-EXEC-00008,STEP6CJ-ROUTE-00021859,step6bz_baseline_gl_route_demand,regular,tenant_in_kind_rent_claim_transfer,manor_output_distribution_contract,materials,2.00,2.5000,lcu:lcu_rural_manor_hx_23194,lcu_rural_manor_hx_23194,Market/Midsize LCUs,manor,manor_hx_23194,Wyrmford,institution:church_fief_hx_29372,actor_church_fief_hx_29372,Episcopal Sees,holding_primary_manor,manor_hx_22639,Wyrmford,Wyrmford,intra_county,water_favored_bulk,exact_anchor,exact_entity_and_endpoint,paid_common_carrier_no_specific_asset_visible,transport_pool:water:wyrmford:wyrmford,Wyrmford water carrier pool,candidate_paid_transport_service_fee,1,1,0.02,ports_coastal_external_market:1,STEP6CN-REPRICE-000156:1,right_allocation_candidate_ready_review_only:1,no_underbuilt_public_corridor_project_visible,,exact_paid_transport_fee_candidate_review,exact_route_demand_candidate_ready_review_only,candidate_ready_for_pnl_review_not_live,true,true,false,false,false,false,false,false,false,source_candidate_review_only_step6cs_trade_route_master_refresh_no_live_route_no_live_ledger_no_pnl_fold_no_payment_no_due_no_arrear_no_obligation_no_settlement_no_opening_balance_no_stock_lock_no_debt_no_trade_price_no_route_cost_effect_no_toll_effect_no_toll_income_no_inventory_mutation_no_resource_mutation_no_runtime_mutation_no_schema_no_ui_no_turn_no_fixture_no_golden_no_source_status_promotion
STEP6CS-EXACT-ROUTE-000009,STEP6CP-EXEC-00009,STEP6CO-EXEC-00009,STEP6CJ-ROUTE-00021860,step6bz_baseline_gl_route_demand,regular,tenant_in_kind_rent_claim_transfer,manor_output_distribution_contract,goods,1.00,0.7500,lcu:lcu_rural_manor_hx_23194,lcu_rural_manor_hx_23194,Market/Midsize LCUs,manor,manor_hx_23194,Wyrmford,institution:church_fief_hx_29372,actor_church_fief_hx_29372,Episcopal Sees,holding_primary_manor,manor_hx_22639,Wyrmford,Wyrmford,intra_county,water_possible,exact_anchor,exact_entity_and_endpoint,paid_common_carrier_no_specific_asset_visible,transport_pool:water:wyrmford:wyrmford,Wyrmford water carrier pool,candidate_paid_transport_service_fee,1,1,0.01,ports_coastal_external_market:1,STEP6CN-REPRICE-000156:1,right_allocation_candidate_ready_review_only:1,no_underbuilt_public_corridor_project_visible,,exact_paid_transport_fee_candidate_review,exact_route_demand_candidate_ready_review_only,candidate_ready_for_pnl_review_not_live,true,true,false,false,false,false,false,false,false,source_candidate_review_only_step6cs_trade_route_master_refresh_no_live_route_no_live_ledger_no_pnl_fold_no_payment_no_due_no_arrear_no_obligation_no_settlement_no_opening_balance_no_stock_lock_no_debt_no_trade_price_no_route_cost_effect_no_toll_effect_no_toll_income_no_inventory_mutation_no_resource_mutation_no_runtime_mutation_no_schema_no_ui_no_turn_no_fixture_no_golden_no_source_status_promotion
STEP6CS-EXACT-ROUTE-000010,STEP6CP-EXEC-00010,STEP6CO-EXEC-00010,STEP6CJ-ROUTE-00021861,step6bz_baseline_gl_route_demand,regular,tenant_in_kind_rent_claim_transfer,manor_output_distribution_contract,food,11.00,11.0000,lcu:lcu_rural_manor_hx_23483,lcu_rural_manor_hx_23483,Market/Midsize LCUs,manor,manor_hx_23483,Wyrmford,institution:church_fief_hx_29372,actor_church_fief_hx_29372,Episcopal Sees,holding_primary_manor,manor_hx_22639,Wyrmford,Wyrmford,intra_county,water_possible,exact_anchor,exact_entity_and_endpoint,paid_common_carrier_no_specific_asset_visible,transport_pool:water:wyrmford:wyrmford,Wyrmford water carrier pool,candidate_paid_transport_service_fee,1,1,0.10,ports_coastal_external_market:1,STEP6CN-REPRICE-000156:1,right_allocation_candidate_ready_review_only:1,no_underbuilt_public_corridor_project_visible,,exact_paid_transport_fee_candidate_review,exact_route_demand_candidate_ready_review_only,candidate_ready_for_pnl_review_not_live,true,true,false,false,false,false,false,false,false,source_candidate_review_only_step6cs_trade_route_master_refresh_no_live_route_no_live_ledger_no_pnl_fold_no_payment_no_due_no_arrear_no_obligation_no_settlement_no_opening_balance_no_stock_lock_no_debt_no_trade_price_no_route_cost_effect_no_toll_effect_no_toll_income_no_inventory_mutation_no_resource_mutation_no_runtime_mutation_no_schema_no_ui_no_turn_no_fixture_no_golden_no_source_status_promotion
