combined_row_id,source_surface,entity_id,source_entity_kind,county_id,county_name,anchor_hex_id,tier_or_group,feature_or_form,public_name_before,locked_public_name,locked_root,public_name_state,lock_action,repair_id,approved_identity_id,validation_scope,source_map_mutation_authorized,live_source_mutation_authorized,display_mutation_authorized,graph_mutation_authorized,ui_fixture_golden_runtime_authorized,house_root_donation_authorized,tenure_created,authority_created,rights_or_obligations_created,church_institution_created,market_right_created
place_006a:seat_barony_hx_27972,place_006a_included,seat_barony_hx_27972,barony,c_6,Wyrmford,hx_27972,baronial_and_comital_seat,baronial_seat_or_castle,Ashcaster,Ashcaster,Ashcaster,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_28840,place_006a_included,seat_barony_hx_28840,barony,c_1,Bramholt,hx_28840,baronial_and_comital_seat,baronial_seat_or_castle,Woldworth,Woldworth,Woldworth,included_in_source_candidate_lock_view,county_geometry_alignment_applied_2026_07_08,PNC-COUNTY-ALIGN-001,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_29126,place_006a_included,seat_barony_hx_29126,barony,c_1,Bramholt,hx_29126,baronial_and_comital_seat,baronial_seat_or_castle,Ashfield,Ashfield,Ashfield,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_29371,place_006a_included,seat_barony_hx_29371,barony,c_6,Wyrmford,hx_29371,baronial_and_comital_seat,baronial_seat_or_castle,Broadford,Broadford,Broadford,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_29412,place_006a_included,seat_barony_hx_29412,barony,c_1,Bramholt,hx_29412,baronial_and_comital_seat,baronial_seat_or_castle,Highworth,Highworth,Highworth,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_30262,place_006a_included,seat_barony_hx_30262,barony,c_1,Bramholt,hx_30262,baronial_and_comital_seat,baronial_seat_or_castle,Uplandworth,Uplandworth,Uplandworth,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_31093,place_006a_included,seat_barony_hx_31093,barony,c_1,Bramholt,hx_31093,baronial_and_comital_seat,baronial_seat_or_castle,Lowford,Lowford,Lowford,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_32204,place_006a_included,seat_barony_hx_32204,barony,c_2,Larkspire,hx_32204,baronial_and_comital_seat,baronial_seat_or_castle,Cedarhall,Cedarhall,Cedarhall,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_32219,place_006a_included,seat_barony_hx_32219,barony,c_1,Bramholt,hx_32219,baronial_and_comital_seat,baronial_seat_or_castle,Cressham,Cressham,Cressham,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_32475,place_006a_included,seat_barony_hx_32475,barony,c_2,Larkspire,hx_32475,baronial_and_comital_seat,baronial_seat_or_castle,Goldford,Goldford,Goldford,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_32770,place_006a_included,seat_barony_hx_32770,barony,c_2,Larkspire,hx_32770,baronial_and_comital_seat,baronial_seat_or_castle,Moorbridge,Moorbridge,Moorbridge,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_32802,place_006a_included,seat_barony_hx_32802,barony,c_3,Merewatch,hx_32802,baronial_and_comital_seat,baronial_seat_or_castle,Mallowfield,Mallowfield,Mallowfield,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_33886,place_006a_included,seat_barony_hx_33886,barony,c_2,Larkspire,hx_33886,baronial_and_comital_seat,baronial_seat_or_castle,Longmere,Longmere,Longmere,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_34181,place_006a_included,seat_barony_hx_34181,barony,c_5,Orchardmere,hx_34181,baronial_and_comital_seat,baronial_seat_or_castle,Wheatford,Wheatford,Wheatford,included_in_source_candidate_lock_view,county_geometry_alignment_applied_2026_07_08,PNC-COUNTY-ALIGN-002,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_34201,place_006a_included,seat_barony_hx_34201,barony,c_3,Merewatch,hx_34201,baronial_and_comital_seat,baronial_seat_or_castle,Lowham,Lowham,Lowham,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_34404,place_006a_included,seat_barony_hx_34404,barony,c_8,Dunmere,hx_34404,baronial_and_comital_seat,baronial_seat_or_castle,Hazelgate,Hazelgate,Hazelgate,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_34437,place_006a_included,seat_barony_hx_34437,barony,c_4,Northwych,hx_34437,baronial_and_comital_seat,baronial_seat_or_castle,Fairton,Fairton,Fairton,included_in_source_candidate_lock_view,county_geometry_alignment_applied_2026_07_08,PNC-COUNTY-ALIGN-003,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_34476,place_006a_included,seat_barony_hx_34476,barony,c_3,Merewatch,hx_34476,baronial_and_comital_seat,baronial_seat_or_castle,Juniperwick,Juniperwick,Juniperwick,included_in_source_candidate_lock_view,county_geometry_alignment_applied_2026_07_08,PNC-COUNTY-ALIGN-004,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_34488,place_006a_included,seat_barony_hx_34488,barony,c_3,Merewatch,hx_34488,baronial_and_comital_seat,baronial_seat_or_castle,Myrtlegate,Myrtlegate,Myrtlegate,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_35283,place_006a_included,seat_barony_hx_35283,barony,c_4,Northwych,hx_35283,baronial_and_comital_seat,baronial_seat_or_castle,Oldcross,Oldcross,Oldcross,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_35883,place_006a_included,seat_barony_hx_35883,barony,c_3,Merewatch,hx_35883,baronial_and_comital_seat,baronial_seat_or_castle,Uplandcross,Uplandcross,Uplandcross,included_in_source_candidate_lock_view,county_geometry_alignment_applied_2026_07_08,PNC-COUNTY-ALIGN-005,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_36087,place_006a_included,seat_barony_hx_36087,barony,c_8,Dunmere,hx_36087,baronial_and_comital_seat,baronial_seat_or_castle,Candlegate,Candlegate,Candlegate,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_36709,place_006a_included,seat_barony_hx_36709,barony,c_5,Orchardmere,hx_36709,baronial_and_comital_seat,baronial_seat_or_castle,Hazelbury,Hazelbury,Hazelbury,included_in_source_candidate_lock_view,accepted_unchanged,,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
place_006a:seat_barony_hx_36718,place_006a_included,seat_barony_hx_36718,barony,c_3,Merewatch,hx_36718,baronial_and_comital_seat,baronial_seat_or_castle,Rookworth,Rookworth,Rookworth,included_in_source_candidate_lock_view,county_geometry_alignment_applied_2026_07_08,PNC-COUNTY-ALIGN-006,,visible_public_name,false,false,false,false,false,false,false,false,false,false,false
