site_id,hex_id,assigned_roles,county_id,market_town_score,county_seat_score,royal_seat_score,royal_castle_score,bishop_seat_score,abbey_site_score,baronial_seat_score,route_centrality_score,crossing_score,defensibility_score,lordship_attraction_score
manor_hx_26597,hx_26597,,c_12,0.4281,0.4551,0.4272,0.4378,0.5114,0.6462,0.494,0.2372,0.4001,0.28,0.5583
manor_hx_27972,hx_27972,baronial_seat,c_13,0.7617,0.7977,0.5877,0.3349,0.8994,0.8302,0.7202,0.3631,0,0.18,0.5211
manor_hx_28840,hx_28840,baronial_seat,c_12,0.5349,0.6411,0.5303,0.4323,0.6271,0.6624,0.5326,0.4448,0.4204,0.32,0.4794
manor_hx_28841,hx_28841,abbey_site,c_12,0.7746,0.8619,0.6726,0.4605,0.9118,0.8959,0.764,0.4745,0.353,0.28,0.586
manor_hx_29126,hx_29126,baronial_seat,c_12,0.5794,0.6922,0.5718,0.4589,0.6919,0.8301,0.6087,0.3247,0.6768,0.27,0.5104
manor_hx_29371,hx_29371,baronial_seat,c_13,0.8083,0.7291,0.5677,0.2865,0.7899,0.691,0.6238,0.3849,0,0.08,0.5143
manor_hx_29372,hx_29372,abbey_site,c_13,0.9049,0.8536,0.636,0.2913,0.9719,0.8388,0.7733,0.4106,0,0.08,0.5203
manor_hx_29412,hx_29412,baronial_seat,c_12,0.5637,0.6292,0.5297,0.4197,0.6288,0.7098,0.5246,0.4724,0.3548,0.3033,0.4844
manor_hx_29691,hx_29691,abbey_site,c_12,0.8563,0.8815,0.6774,0.3818,0.9688,0.9161,0.7714,0.5399,0.1837,0.13,0.5642
manor_hx_30260,hx_30260,abbey_site,c_12,0.7936,0.8741,0.6857,0.4721,0.9097,0.921,0.7745,0.4075,0.5149,0.2467,0.5964
manor_hx_30262,hx_30262,baronial_seat,c_12,0.5222,0.6115,0.5607,0.5193,0.6124,0.6795,0.5955,0.231,0.8045,0.2633,0.6287
manor_hx_31093,hx_31093,baronial_seat,c_12,0.8872,0.8274,0.6422,0.3137,0.8755,0.715,0.675,0.5386,0,0.08,0.5417
manor_hx_31094,hx_31094,county_seat|bishop_seat|market_town,c_12,1,0.9863,0.7261,0.3128,1,0.8698,0.8523,0.5745,0,0.08,0.5406
manor_hx_31643,hx_31643,abbey_site,c_12,0.555,0.5824,0.4805,0.3463,0.6198,0.7119,0.4737,0.5353,0,0.27,0.4411
manor_hx_32204,hx_32204,baronial_seat,c_2,0.7269,0.754,0.5862,0.3364,0.7649,0.722,0.5761,0.6176,0,0.2367,0.4505
manor_hx_32219,hx_32219,baronial_seat,c_12,0.9101,0.8513,0.6394,0.2893,0.968,0.822,0.7734,0.4438,0,0.08,0.5158
manor_hx_32475,hx_32475,baronial_seat,c_2,0.5713,0.6932,0.5778,0.4743,0.6909,0.8068,0.6113,0.3563,0.6679,0.3033,0.5178
manor_hx_32485,hx_32485,county_seat|bishop_seat|market_town,c_14,0.9926,0.99,0.741,0.3446,1,0.9236,0.8455,0.6588,0,0.1133,0.5568
manor_hx_32760,hx_32760,abbey_site,c_2,0.7461,0.8119,0.6242,0.3752,0.8653,0.8782,0.6862,0.5955,0.1525,0.27,0.46
manor_hx_32770,hx_32770,baronial_seat,c_12,0.8959,0.8172,0.6418,0.304,0.8615,0.6796,0.6714,0.5724,0,0.08,0.5274
manor_hx_32802,hx_32802,baronial_seat,c_4,0.5486,0.6362,0.515,0.4071,0.6407,0.7049,0.5218,0.4012,0.3361,0.2867,0.467
manor_hx_33050,hx_33050,abbey_site,c_12,1,0.9743,0.7236,0.3035,1,0.8342,0.8486,0.6106,0,0.08,0.5265
manor_hx_33083,hx_33083,abbey_site,c_4,0.8138,0.8526,0.6505,0.3783,0.9325,0.9129,0.7505,0.405,0.2415,0.13,0.5594
