id,type,route_access_score,route_degree,travel_cost_to_nearest_market_town,travel_cost_to_nearest_county_seat,travel_cost_to_nearest_bishop_seat,nearest_trunk_route_distance
manor_hx_26597,strategic,0.2372,6,51.144,51.144,51.144,0
manor_hx_27972,elite_complex,0.3631,3,67.174,67.174,67.174,0
manor_hx_27973,ordinary,0.3404,4,67.174,67.174,67.174,0
manor_hx_28538,ordinary,0.2269,3,61.638,61.638,61.638,0
manor_hx_28811,ordinary,0.3593,5,70.246,70.246,70.246,0
manor_hx_28840,elite_complex,0.4448,2,44.312,44.312,44.312,0
manor_hx_28841,elite_complex,0.4745,3,41.956,41.956,41.956,0
manor_hx_29096,ordinary,0.2823,6,61.638,61.638,61.638,0
manor_hx_29126,elite_complex,0.3712,3,17.866,17.866,17.866,0
manor_hx_29369,ordinary,0.3336,4,70.246,70.246,70.246,0
manor_hx_29371,elite_complex,0.3849,4,67.478,67.478,67.478,0
manor_hx_29372,elite_complex,0.4106,4,67.478,67.478,67.478,0
manor_hx_29412,elite_complex,0.4724,3,11.956,11.956,11.956,0
manor_hx_29660,ordinary,0.2053,6,56.102,56.102,56.102,0
manor_hx_29691,elite_complex,0.5399,3,9.688,9.688,9.688,0
manor_hx_29933,ordinary,0.3593,6,64.71,64.71,64.71,0
manor_hx_30217,ordinary,0.2823,5,59.174,59.174,59.174,0
manor_hx_30260,elite_complex,0.4075,2,18.032,18.032,18.032,0
manor_hx_30262,elite_complex,0.3566,1,31.998,31.998,31.998,0
manor_hx_30491,ordinary,0.2823,5,68.862,68.862,68.862,5.536
manor_hx_30535,ordinary,0.4668,7,4.152,4.152,4.152,0
manor_hx_30811,ordinary,0.4668,10,4.152,4.152,4.152,0
manor_hx_31061,ordinary,0.1796,4,53.638,53.638,53.638,5.536
manor_hx_31093,elite_complex,0.5386,3,1.384,1.384,1.384,0
manor_hx_31094,elite_complex,0.5745,4,0,0,0,0
manor_hx_31099,ordinary,0.395,5,9.688,9.688,9.688,0
manor_hx_31338,ordinary,0.231,7,59.174,59.174,59.174,5.536
manor_hx_31643,elite_complex,0.5353,3,6.852,6.852,6.852,0
manor_hx_31655,ordinary,0.5027,9,2.768,2.768,2.768,0
manor_hx_31932,ordinary,0.395,5,8.304,8.304,8.304,0
manor_hx_32204,elite_complex,0.6176,3,1.924,1.924,1.924,0
manor_hx_32209,ordinary,0.4961,9,6.92,6.92,6.92,0
manor_hx_32219,elite_complex,0.4438,3,8.304,8.304,8.304,0
manor_hx_32221,ordinary,0.3883,5,11.072,11.072,11.072,0
manor_hx_32475,elite_complex,0.4094,1,20.33,20.33,20.33,0
manor_hx_32485,elite_complex,0.6588,5,0,0,0,0
manor_hx_32760,elite_complex,0.5955,3,12.692,12.692,12.692,0
manor_hx_32768,ordinary,0.5353,5,4.152,4.152,4.152,0
manor_hx_32770,elite_complex,0.5724,4,6.92,6.92,6.92,0
manor_hx_32802,elite_complex,0.4012,4,9.06,9.06,9.06,0
manor_hx_33050,elite_complex,0.6106,4,6.92,6.92,6.92,0
manor_hx_33053,ordinary,0.4961,7,11.072,11.072,11.072,0
manor_hx_33083,elite_complex,0.4413,3,6.92,6.92,6.92,0
manor_hx_33325,ordinary,0.5353,11,4.152,4.152,4.152,0
manor_hx_33329,ordinary,0.5343,7,5.536,5.536,5.536,0
manor_hx_33338,ordinary,0.3924,7,11.072,11.072,11.072,0
manor_hx_33344,ordinary,0.3051,2,16.608,16.608,16.608,0
manor_hx_33645,ordinary,0.5215,5,4.152,4.152,4.152,0
manor_hx_33878,ordinary,0.4011,10,6.92,6.92,6.92,0
manor_hx_33886,elite_complex,0.6098,2,6.92,6.92,6.92,0
manor_hx_33900,elite_complex,0.4485,4,13.84,13.84,13.84,0
manor_hx_33915,elite_complex,0.4375,1,12.638,12.638,17.992,0
manor_hx_34157,elite_complex,0.3646,3,9.688,9.688,9.688,0
manor_hx_34162,ordinary,0.474,5,4.152,4.152,4.152,0
manor_hx_34181,elite_complex,0.4205,4,15.224,15.224,15.224,0
manor_hx_34183,ordinary,0.3644,6,17.992,17.992,17.992,0
manor_hx_34196,ordinary,0.4667,3,11.254,11.254,16.608,0
manor_hx_34201,elite_complex,0.5175,2,8.304,8.304,8.304,0
manor_hx_34209,ordinary,0.5215,7,4.368,4.368,4.368,0
manor_hx_34402,ordinary,0.3699,4,48.648,48.648,48.648,0
manor_hx_34404,elite_complex,0.4227,3,45.88,45.88,45.88,0
manor_hx_34437,elite_complex,0.3646,4,8.304,8.304,8.304,0
manor_hx_34446,ordinary,0.5336,8,6.92,6.92,6.92,0
manor_hx_34460,ordinary,0.3924,6,16.608,16.608,16.608,0
manor_hx_34476,elite_complex,0.4375,3,9.87,9.87,17.992,0
manor_hx_34483,ordinary,0.4814,7,5.536,5.536,5.536,0
manor_hx_34487,elite_complex,0.6419,5,0,0,0,0
manor_hx_34488,elite_complex,0.6018,5,1.384,1.384,1.384,0
manor_hx_34491,strategic,0.4814,3,10.17,10.17,10.17,0
manor_hx_34686,ordinary,0.3699,7,43.112,43.112,43.112,0
manor_hx_34737,ordinary,0.3435,5,16.608,16.608,16.608,0
manor_hx_34760,ordinary,0.5505,4,7.102,7.102,11.072,0
manor_hx_34770,elite_complex,0.5215,4,4.368,4.368,4.368,0
manor_hx_35003,elite_complex,0.5834,7,0,0,0,0
manor_hx_35280,ordinary,0.4375,10,5.536,5.536,5.536,0
manor_hx_35283,elite_complex,0.5469,3,1.384,1.384,1.384,0
manor_hx_35304,ordinary,0.3083,6,20.76,20.76,20.76,0
manor_hx_35327,ordinary,0.5215,6,4.152,4.152,4.152,0
manor_hx_35525,ordinary,0.317,6,43.112,43.112,43.112,0
manor_hx_35581,ordinary,0.2803,5,22.144,22.144,22.144,0
manor_hx_35599,ordinary,0.5505,5,6.24,6.24,23.734,0
manor_hx_35602,elite_complex,0.6776,4,2.428,2.428,15.066,0
manor_hx_35604,ordinary,0.5929,6,7.284,7.284,10.21,0
manor_hx_35611,ordinary,0.4814,6,6.92,6.92,6.92,0
manor_hx_35807,elite_complex,0.3529,4,40.344,40.344,40.344,0
manor_hx_35821,elite_complex,0.4447,2,33.466,33.466,33.466,0
manor_hx_35844,ordinary,0.474,5,4.152,4.152,4.152,0
manor_hx_35858,ordinary,0.229,7,22.144,22.144,22.144,5.536
manor_hx_35882,elite_complex,0.6352,6,0,0,17.494,0
manor_hx_35883,elite_complex,0.6352,4,2.428,2.428,15.066,0
manor_hx_36087,elite_complex,0.3308,4,40.344,40.344,40.344,0
manor_hx_36149,ordinary,0.2587,6,24.05,24.05,27.68,0
manor_hx_36156,ordinary,0.3388,4,12.978,12.978,28.724,0
manor_hx_36371,ordinary,0.2849,7,34.808,34.808,34.808,0
manor_hx_36396,elite_complex,0.4697,2,9.924,9.924,9.924,0
manor_hx_36402,ordinary,0.3646,4,11.072,11.072,11.072,5.536
manor_hx_36426,ordinary,0.2587,7,26.296,26.296,26.296,0
manor_hx_36433,ordinary,0.199,4,18.514,18.514,33.216,0
manor_hx_36448,ordinary,0.4235,5,9.688,9.688,9.688,0
manor_hx_36648,ordinary,0.2867,5,37.576,37.576,37.576,0
manor_hx_36703,ordinary,0.199,6,27.68,27.68,27.68,0
manor_hx_36709,elite_complex,0.2985,4,26.818,26.818,30.448,0
manor_hx_36718,elite_complex,0.3388,6,10.21,10.21,25.956,0
manor_hx_36720,ordinary,0.4235,7,7.442,7.442,23.188,0
manor_hx_36724,ordinary,0.5082,6,4.674,4.674,17.652,0
manor_hx_36734,ordinary,0.3587,5,12.456,12.456,12.456,0
manor_hx_36745,strategic,0.3518,2,27.91,27.91,27.91,0
manor_hx_36951,elite_complex,0.4224,3,11.308,11.308,11.308,0
manor_hx_36989,elite_complex,0.3184,3,26.818,26.818,30.448,0
manor_hx_36998,elite_complex,0.2964,4,11.594,11.594,27.34,0
manor_hx_37233,elite_complex,0.4827,3,6.92,6.92,6.92,0
manor_hx_37235,ordinary,0.5551,9,4.152,4.152,4.152,0
manor_hx_37239,ordinary,0.5551,7,4.152,4.152,4.152,0
manor_hx_37270,ordinary,0.2985,8,25.434,25.434,31.832,0
manor_hx_37278,ordinary,0.2632,7,12.978,12.978,28.724,0
