site_id,hex_id,assigned_roles,county_id,market_town_score,county_seat_score,royal_seat_score,royal_castle_score,bishop_seat_score,abbey_site_score,baronial_seat_score,route_centrality_score,crossing_score,defensibility_score,lordship_attraction_score
manor_hx_18675,hx_18675,abbey_site,c_7,0.7627,0.8041,0.6504,0.4005,0.8423,0.7822,0.6582,0.7024,0.1469,0.13,0.5806
manor_hx_18955,hx_18955,county_seat|bishop_seat|market_town,c_7,0.9581,1,0.7754,0.4231,1,0.9265,0.8441,0.7492,0.2414,0.1133,0.5985
manor_hx_19236,hx_19236,baronial_seat,c_7,0.7807,0.8276,0.6695,0.4277,0.8668,0.7324,0.6805,0.7024,0.1469,0.18,0.6031
manor_hx_20643,hx_20643,baronial_seat,c_7,0.9115,0.8657,0.6768,0.3379,0.9153,0.746,0.6977,0.6283,0,0.08,0.5705
manor_hx_20924,hx_20924,abbey_site,c_7,1,1,0.7481,0.3384,1,0.9035,0.8787,0.6702,0,0.08,0.5718
manor_hx_21492,hx_21492,baronial_seat,c_7,0.9058,0.8302,0.6293,0.276,0.9435,0.7816,0.763,0.4595,0,0.08,0.4962
manor_hx_22897,hx_22897,abbey_site,c_7,0.9166,0.8429,0.6425,0.2836,0.956,0.7866,0.771,0.501,0,0.08,0.5045
manor_hx_22898,hx_22898,baronial_seat,c_7,0.8176,0.7163,0.572,0.2776,0.7712,0.6373,0.6194,0.4697,0,0.08,0.4969
manor_hx_23449,hx_23449,baronial_seat,c_7,0.8159,0.7524,0.5882,0.3045,0.8147,0.7149,0.6366,0.4428,0,0.08,0.5348
manor_hx_23450,hx_23450,abbey_site,c_7,0.9192,0.8715,0.6549,0.3024,0.9894,0.8454,0.7842,0.4723,0,0.08,0.5322
manor_hx_24602,hx_24602,abbey_site,c_9,0.8821,0.8524,0.6411,0.3029,0.9644,0.8277,0.7635,0.4894,0,0.08,0.524
manor_hx_25425,hx_25425,baronial_seat,c_3,0.7393,0.6476,0.5083,0.2504,0.7696,0.7014,0.6504,0.3181,0,0.08,0.4684
manor_hx_25963,hx_25963,baronial_seat,c_10,0.7448,0.7193,0.5594,0.307,0.8431,0.7995,0.6795,0.4216,0,0.08,0.5342
