manor_id,seat_hex_id,county_id,primary_role,seat_roles,seat_archetype,hex_count,total_net_productive_capacity,avg_water_access_score,avg_buildability_score,route_access_score,route_degree,territorial_degree,estimated_peasant_households,manor_size_class,capacity_quantile_band,is_elite,was_repaired,was_merged,was_split,residual_share
manor_hx_18675,hx_18675,c_7,abbey_site,abbey_site,elite,4,3.7909,0.75,0.96,0.7024,2,2,8,small,bottom,true,false,false,false,
manor_hx_18679,hx_18679,c_7,,,ordinary,22,12.8265,0.8068,0.5091,0.5151,2,2,56,medium,middle,false,false,false,false,
manor_hx_18955,hx_18955,c_7,county_seat,county_seat|bishop_seat|market_town,elite,11,10.626,0.8333,0.96,0.7492,6,6,22,medium,middle,true,false,false,false,
manor_hx_19236,hx_19236,c_7,baronial_seat,baronial_seat,elite,4,3.9257,0.8959,0.96,0.7024,1,1,10,small,middle,true,false,false,false,
manor_hx_19801,hx_19801,c_7,,,ordinary,10,8.1906,0.6333,0.822,0.5027,5,5,19,small,middle,false,false,false,false,
manor_hx_20086,hx_20086,c_7,,,ordinary,20,14.9333,0.375,0.799,0.4608,3,4,37,medium,middle,false,false,false,false,
manor_hx_20359,hx_20359,c_7,,,ordinary,24,12.7543,0.8229,0.525,0.5151,3,4,43,medium,middle,false,false,false,false,
manor_hx_20372,hx_20372,c_7,,,ordinary,34,22.5454,0.7059,0.6218,0.3446,3,4,150,large,top,false,false,false,false,
manor_hx_20643,hx_20643,c_7,baronial_seat,baronial_seat,elite,4,3.799,0.7084,0.96,0.6283,4,4,15,small,middle,true,false,false,false,
manor_hx_20924,hx_20924,c_7,abbey_site,abbey_site,elite,4,3.7041,0.6041,0.96,0.6702,4,5,11,small,bottom,true,false,false,false,
manor_hx_20925,hx_20925,c_7,,,ordinary,13,11.4553,0.4038,0.96,0.6283,6,6,41,medium,middle,false,false,false,false,
manor_hx_20930,hx_20930,c_7,,,ordinary,12,10.2411,0.2778,0.96,0.4189,5,6,37,medium,middle,false,false,false,false,
manor_hx_21492,hx_21492,c_7,baronial_seat,baronial_seat,elite,4,3.4988,0.375,0.96,0.4595,4,4,7,small,bottom,true,false,false,false,
manor_hx_21494,hx_21494,c_7,,,ordinary,15,11.6035,0.6167,0.776,0.4021,5,6,41,medium,middle,false,false,false,false,
manor_hx_21764,hx_21764,c_7,,,ordinary,18,13.4072,0.75,0.73,0.5445,6,6,37,medium,middle,false,false,false,false,
manor_hx_22052,hx_22052,c_7,,,ordinary,16,13.3223,0.1823,0.96,0.4021,7,7,27,medium,middle,false,false,false,false,
manor_hx_22328,hx_22328,c_7,,,ordinary,18,15.8208,0.3935,0.96,0.4608,5,6,34,medium,middle,false,false,false,false,
manor_hx_22603,hx_22603,c_7,,,ordinary,19,13.5847,0.8421,0.6747,0.377,2,2,46,medium,middle,false,false,false,false,
manor_hx_22619,hx_22619,c_7,,,ordinary,26,17.7858,0.6763,0.6592,0.4071,4,5,59,medium,top,false,false,false,false,
manor_hx_22896,hx_22896,c_7,,,ordinary,13,10.8893,0.2051,0.96,0.4697,5,5,33,medium,middle,false,false,false,false,
manor_hx_22897,hx_22897,c_7,abbey_site,abbey_site,elite,4,3.5174,0.3958,0.96,0.501,4,5,11,small,bottom,true,false,false,false,
manor_hx_22898,hx_22898,c_7,baronial_seat,baronial_seat,elite,4,3.4988,0.375,0.96,0.4697,4,4,12,small,bottom,true,false,false,false,
manor_hx_23167,hx_23167,c_7,,,ordinary,13,10.0336,0.7757,0.7585,0.3837,7,7,7,small,middle,false,false,false,false,
manor_hx_23183,hx_23183,c_7,,,ordinary,35,23.014,0.5929,0.6543,0.3131,3,3,113,large,top,false,false,false,false,
manor_hx_23449,hx_23449,c_7,baronial_seat,baronial_seat,elite,4,3.8183,0.7292,0.96,0.4428,3,3,12,small,middle,true,false,false,false,
manor_hx_23450,hx_23450,c_7,abbey_site,abbey_site,elite,4,3.7041,0.6041,0.96,0.4723,5,4,10,small,bottom,true,false,false,false,
manor_hx_23451,hx_23451,c_7,,,ordinary,12,10.608,0.4167,0.96,0.4428,8,8,49,medium,middle,false,false,false,false,
manor_hx_23478,hx_23478,c_9,,,ordinary,28,18.1395,0.7351,0.615,0.3748,1,2,52,medium,top,false,false,false,false,
manor_hx_23735,hx_23735,c_7,,,ordinary,27,22.1366,0.1227,0.96,0.3444,6,6,131,large,top,false,false,false,false,
manor_hx_23740,hx_23740,c_7,,,ordinary,10,8.2292,0.137,0.96,0.4071,5,5,13,small,middle,false,false,false,false,
manor_hx_24043,hx_24043,c_9,,,ordinary,25,16.1051,0.77,0.6232,0.3976,3,4,33,medium,middle,false,false,false,false,
manor_hx_24290,hx_24290,c_10,,,ordinary,19,15.5103,0.6667,0.8221,0.3837,7,7,33,medium,middle,false,false,false,false,
manor_hx_24304,hx_24304,c_3,,,ordinary,26,18.7421,0.4776,0.7477,0.2818,4,4,44,medium,top,false,false,false,false,
manor_hx_24574,hx_24574,c_7,,,ordinary,9,7.409,0.1381,0.96,0.3542,5,4,12,small,middle,false,false,false,false,
manor_hx_24601,hx_24601,c_14,,,ordinary,26,16.5987,0.8237,0.5869,0.4588,6,6,50,medium,top,false,false,false,false,
manor_hx_24602,hx_24602,c_9,abbey_site,abbey_site,elite,4,3.7801,0.6875,0.96,0.4894,3,3,7,small,bottom,true,false,false,false,
manor_hx_25121,hx_25121,c_10,,,ordinary,16,11.6748,0.8438,0.6988,0.3425,3,4,34,medium,middle,false,false,false,false,
manor_hx_25143,hx_25143,c_3,,,ordinary,48,39.1626,0.1043,0.96,0.2783,11,12,92,large,top,false,true,false,false,
manor_hx_25165,hx_25165,c_9,,,ordinary,31,23.5853,0.6559,0.7671,0.3976,3,3,114,large,top,false,false,false,false,
manor_hx_25412,hx_25412,c_10,,,ordinary,16,14.1448,0.4167,0.96,0.2657,4,4,41,medium,middle,false,false,false,false,
manor_hx_25425,hx_25425,c_3,baronial_seat,baronial_seat,elite,4,3.4804,0.3541,0.96,0.3181,4,3,6,small,bottom,true,false,false,false,
manor_hx_25427,hx_25427,c_3,,,ordinary,23,17.8247,0.6051,0.78,0.2783,5,5,46,medium,top,false,false,false,false,
manor_hx_25688,hx_25688,c_10,,,ordinary,19,14.2419,0.5351,0.7663,0.3138,6,8,35,medium,middle,false,false,false,false,
manor_hx_25963,hx_25963,c_10,baronial_seat,baronial_seat,elite,4,3.8758,0.7916,0.96,0.4216,3,3,11,small,middle,true,false,false,false,
manor_hx_25965,hx_25965,c_10,,,ordinary,9,8.1317,0.6944,0.9089,0.3689,6,6,13,small,middle,false,true,false,false,
manor_hx_26236,hx_26236,c_10,abbey_site,abbey_site,elite,4,3.685,0.9584,0.84,0.218,1,0,11,small,bottom,true,false,false,false,
manor_hx_26242,hx_26242,c_10,,,ordinary,30,21.6639,0.7167,0.7067,0.3689,5,4,142,large,top,false,false,false,false,
manor_hx_26256,hx_26256,c_10,,,ordinary,60,48.9515,0.1039,0.96,0.3436,8,8,95,large,top,false,true,false,false,
manor_hx_26532,hx_26532,c_10,,,ordinary,11,9.2212,0.2082,0.96,0.3865,4,5,12,small,middle,false,false,false,false,
manor_hx_26548,hx_26548,c_3,,,ordinary,20,16.8667,0.2312,0.96,0.3038,6,5,45,medium,top,false,false,false,false,
manor_hx_26561,hx_26561,c_14,abbey_site,abbey_site,elite,4,3.3396,0.625,0.845,0.4521,2,2,11,small,bottom,true,false,false,false,
manor_hx_26808,hx_26808,c_10,abbey_site,abbey_site,elite,4,3.6665,0.5625,0.96,0.4184,4,4,13,small,bottom,true,false,false,false,
manor_hx_26809,hx_26809,c_10,,,ordinary,12,10.4053,0.3403,0.96,0.3922,5,5,34,medium,middle,false,false,false,false,
manor_hx_26832,hx_26832,c_3,,,ordinary,18,15.3409,0.5648,0.8833,0.4253,5,6,34,medium,middle,false,false,false,false,
manor_hx_27086,hx_27086,c_10,,,ordinary,29,20.6972,0.6063,0.7062,0.3399,5,5,124,large,top,false,false,false,false,
manor_hx_27116,hx_27116,c_3,,,ordinary,17,12.8889,0.6961,0.7765,0.5651,5,5,34,medium,middle,false,false,false,false,
manor_hx_27379,hx_27379,c_3,,,ordinary,28,22.9667,0.1244,0.96,0.5153,7,8,141,large,top,false,true,false,false,
manor_hx_27383,hx_27383,c_3,,,ordinary,21,17.1341,0.1044,0.96,0.5051,7,7,44,medium,top,false,true,false,false,
manor_hx_27394,hx_27394,c_3,abbey_site,abbey_site,elite,4,3.6665,0.5625,0.96,0.5086,4,4,13,small,bottom,true,false,false,false,
manor_hx_27395,hx_27395,c_3,baronial_seat,baronial_seat,elite,4,3.6102,0.5,0.96,0.5651,4,4,13,small,bottom,true,false,false,false,
manor_hx_27400,hx_27400,c_14,,,ordinary,27,21.5957,0.5556,0.8237,0.6216,7,8,121,large,top,false,false,false,false,
manor_hx_27685,hx_27685,c_9,,,ordinary,28,19.2899,0.6548,0.6643,0.6303,7,7,60,medium,top,false,false,false,false,
manor_hx_27937,hx_27937,c_10,,,ordinary,28,22.8491,0.1051,0.96,0.6012,7,8,95,large,top,false,true,false,false,
manor_hx_27949,hx_27949,c_3,,,ordinary,14,11.7638,0.2171,0.96,0.3674,5,7,50,medium,middle,false,false,false,false,
manor_hx_27955,hx_27955,c_3,,,ordinary,17,14.4604,0.2647,0.96,0.5651,7,8,44,medium,middle,false,false,false,false,
manor_hx_28211,hx_28211,c_10,,,ordinary,27,21.15,0.5432,0.8067,0.4348,6,6,114,large,top,false,false,false,false,
manor_hx_28247,hx_28247,c_14,,,strategic,9,7.9796,0.6204,0.9089,0.6303,3,3,11,small,middle,false,true,false,false,
manor_hx_28495,hx_28495,c_10,,,ordinary,9,7.5536,0.213,0.96,0.5153,6,6,12,small,middle,false,false,false,false,
manor_hx_28499,hx_28499,c_3,baronial_seat,baronial_seat,elite,4,3.4074,0.2708,0.96,0.6871,3,3,10,small,bottom,true,false,false,false,
manor_hx_28503,hx_28503,c_3,,,ordinary,8,6.8878,0.3125,0.96,0.6888,6,6,12,small,middle,false,true,false,false,
manor_hx_28507,hx_28507,c_3,,,ordinary,10,8.7664,0.3833,0.96,0.551,6,6,12,small,middle,false,false,false,false,
manor_hx_28519,hx_28519,c_3,,,ordinary,9,7.7173,0.2963,0.96,0.7911,6,7,15,small,middle,false,false,false,false,
manor_hx_28525,hx_28525,c_14,county_seat,county_seat|county_castle|bishop_seat|market_town,elite,14,9.9985,0.3452,0.79,0.7757,6,8,13,small,middle,true,false,false,false,
manor_hx_28526,hx_28526,c_14,baronial_seat,baronial_seat,elite,4,3.5914,0.4792,0.96,0.7272,4,4,11,small,bottom,true,false,false,false,
manor_hx_28529,hx_28529,c_14,,,ordinary,18,12.3561,0.7407,0.6478,0.5818,6,8,33,medium,middle,false,false,false,false,
manor_hx_28774,hx_28774,c_10,baronial_seat,baronial_seat,elite,4,3.4988,0.375,0.96,0.5351,3,3,9,small,bottom,true,false,false,false,
manor_hx_28784,hx_28784,c_3,county_seat,county_seat|bishop_seat|market_town,elite,11,10.0978,0.5682,0.96,0.7347,6,6,18,small,middle,true,false,false,false,
manor_hx_28785,hx_28785,c_3,baronial_seat,baronial_seat,elite,4,3.5916,0.4792,0.96,0.6888,4,4,14,small,bottom,true,false,false,false,
manor_hx_28793,hx_28793,c_3,,,ordinary,17,14.6794,0.3235,0.96,0.4521,5,5,42,medium,middle,false,false,false,false,
manor_hx_28801,hx_28801,c_3,abbey_site,abbey_site,elite,4,3.317,0.1667,0.96,0.9041,3,4,8,small,bottom,true,false,false,false,
manor_hx_29059,hx_29059,c_10,,,ordinary,12,10.2777,0.2917,0.96,0.6012,7,7,44,medium,middle,false,false,false,false,
manor_hx_29082,hx_29082,c_3,baronial_seat,baronial_seat,elite,4,2.9525,0.0825,0.875,0.8476,3,4,13,small,bottom,true,false,false,false,
manor_hx_29097,hx_29097,c_9,,,ordinary,26,17.0568,0.8141,0.5885,0.6902,4,6,56,medium,top,false,false,false,false,
manor_hx_29334,hx_29334,c_10,,,ordinary,15,13.3173,0.55,0.9293,0.4682,6,6,50,medium,middle,false,false,false,false,
manor_hx_29351,hx_29351,c_3,,,ordinary,9,8.2356,0.5555,0.96,0.4446,7,7,9,small,middle,false,false,false,false,
manor_hx_29363,hx_29363,c_3,,,strategic,27,16.0066,0.0823,0.7081,0.7911,5,5,47,medium,middle,false,false,false,false,
manor_hx_29372,hx_29372,c_14,baronial_seat,baronial_seat,elite,4,3.4764,0.7084,0.875,0.5406,4,4,11,small,bottom,true,false,false,false,
manor_hx_29623,hx_29623,c_3,,,ordinary,9,8.2543,0.5648,0.96,0.5736,7,7,14,small,middle,false,true,false,false,
manor_hx_29628,hx_29628,c_3,,,ordinary,10,9.5556,0.7333,0.96,0.551,6,6,11,small,middle,false,false,false,false,
manor_hx_29632,hx_29632,c_3,abbey_site,abbey_site,elite,4,3.7799,0.6875,0.96,0.4742,4,4,8,small,bottom,true,false,false,false,
manor_hx_29637,hx_29637,c_3,,,ordinary,11,9.3583,0.2652,0.96,0.5086,5,5,11,small,middle,false,false,false,false,
manor_hx_29651,hx_29651,c_14,,,strategic,14,8.1027,0.4464,0.62,0.5414,6,7,12,small,middle,false,false,false,false,
manor_hx_29652,hx_29652,c_14,abbey_site,abbey_site,elite,4,2.426,0.6041,0.62,0.5406,3,4,12,small,bottom,true,false,false,false,
manor_hx_29660,hx_29660,c_9,abbey_site,abbey_site,elite,4,3.9943,0.9375,0.96,0.7477,3,3,13,small,middle,true,false,false,false,
manor_hx_29912,hx_29912,c_3,baronial_seat,baronial_seat,elite,4,3.8953,0.8125,0.96,0.4446,4,5,16,small,middle,true,false,false,false,
manor_hx_30176,hx_30176,c_10,abbey_site,abbey_site,elite,4,3.6665,0.5625,0.96,0.4237,4,4,8,small,bottom,true,false,false,false,
manor_hx_30178,hx_30178,c_10,,,ordinary,20,17.2929,0.3292,0.96,0.3865,9,10,38,medium,top,false,false,false,false,
manor_hx_30185,hx_30185,c_3,abbey_site,abbey_site,elite,4,3.8565,0.7708,0.96,0.6556,5,5,10,small,middle,true,false,false,false,
manor_hx_30195,hx_30195,c_3,,,ordinary,11,10.1349,0.5833,0.96,0.3853,6,8,11,small,middle,false,false,false,false,
manor_hx_30209,hx_30209,c_14,baronial_seat,baronial_seat,elite,4,2.1801,0.25,0.62,0.5414,1,2,10,small,bottom,true,false,false,false,
manor_hx_30217,hx_30217,c_14,,,strategic,15,8.7645,0.4778,0.62,0.8053,8,10,10,small,middle,false,false,false,false,
manor_hx_30218,hx_30218,c_14,baronial_seat,baronial_seat,elite,4,2.8121,0.6875,0.705,0.8628,3,4,14,small,bottom,true,false,false,false,
manor_hx_30219,hx_30219,c_9,county_seat,county_seat|county_castle|bishop_seat|market_town,elite,11,10.7073,0.8106,0.96,0.9203,6,6,33,medium,middle,true,false,false,false,
manor_hx_30454,hx_30454,c_10,,,ordinary,25,17.6674,0.77,0.688,0.3443,6,6,55,medium,top,false,false,false,false,
manor_hx_30456,hx_30456,c_10,baronial_seat,baronial_seat,elite,4,3.6102,0.5,0.96,0.3972,3,3,9,small,bottom,true,false,false,false,
manor_hx_30462,hx_30462,c_10,,,ordinary,11,9.8537,0.4697,0.96,0.4917,5,5,11,small,middle,false,false,false,false,
manor_hx_30466,hx_30466,c_3,baronial_seat,baronial_seat,elite,4,3.9553,0.8958,0.96,0.6146,4,4,13,small,middle,true,false,false,false,
manor_hx_30481,hx_30481,c_3,,,ordinary,8,6.8334,0.2813,0.96,0.5651,4,5,14,small,middle,false,true,false,false,
manor_hx_30503,hx_30503,c_9,,,ordinary,24,17.7427,0.9653,0.6725,0.6902,8,8,45,medium,top,false,false,false,false,
manor_hx_30749,hx_30749,c_3,,,ordinary,17,14.315,0.8726,0.7976,0.4917,7,8,37,medium,middle,false,false,false,false,
manor_hx_30753,hx_30753,c_3,,,ordinary,14,11.3869,0.869,0.7629,0.3557,7,7,46,medium,middle,false,false,false,false,
manor_hx_30780,hx_30780,c_14,,,ordinary,10,5.9401,0.5333,0.62,0.8053,5,5,12,small,middle,false,false,false,false,
manor_hx_30791,hx_30791,c_9,,,ordinary,26,17.6746,0.9039,0.6685,0.3702,4,4,39,medium,top,false,false,false,false,
manor_hx_31026,hx_31026,c_3,,,ordinary,9,8.5197,0.6944,0.96,0.5327,6,6,7,small,middle,false,true,false,false,
manor_hx_31039,hx_31039,c_3,,,ordinary,8,7.183,0.4792,0.96,0.3674,5,6,9,small,middle,false,false,false,false,
manor_hx_31047,hx_31047,c_14,,,strategic,72,52.2206,0.0979,0.8561,0.6823,15,16,91,large,top,false,true,true,false,
manor_hx_31054,hx_31054,c_14,,,strategic,10,5.4081,0.225,0.62,0.5188,4,4,12,small,middle,false,false,false,false,
manor_hx_31055,hx_31055,c_14,baronial_seat,baronial_seat,elite,4,2.1801,0.25,0.62,0.5406,2,3,8,small,bottom,true,false,false,false,
manor_hx_31063,hx_31063,c_14,,,strategic,9,8.6725,0.7685,0.96,0.7017,7,8,15,small,middle,false,true,false,false,
manor_hx_31067,hx_31067,c_9,baronial_seat,baronial_seat,elite,4,3.9146,0.8333,0.96,0.5553,3,3,9,small,middle,true,false,false,false,
manor_hx_31068,hx_31068,c_14,,,ordinary,14,12.9621,0.7798,0.9271,0.5183,6,7,23,medium,middle,false,false,false,false,
manor_hx_31347,hx_31347,c_14,abbey_site,abbey_site,elite,4,3.8183,0.7292,0.96,0.5923,5,5,7,small,middle,true,false,false,false,
manor_hx_31576,hx_31576,c_10,,,ordinary,21,18.7507,0.4563,0.96,0.3502,6,7,39,medium,top,false,false,false,false,
manor_hx_31584,hx_31584,c_10,,,ordinary,12,11.3985,0.7083,0.96,0.4097,7,8,43,medium,middle,false,false,false,false,
manor_hx_31597,hx_31597,c_3,,,ordinary,9,8.4056,0.6389,0.96,0.4043,5,6,12,small,middle,false,true,false,false,
manor_hx_31603,hx_31603,c_3,,,ordinary,8,6.6703,0.1875,0.96,0.5774,3,3,13,small,middle,false,true,false,false,
manor_hx_31608,hx_31608,c_14,baronial_seat,baronial_seat,elite,4,2.9162,0.04,0.875,0.7873,2,2,8,small,bottom,true,false,false,false,
manor_hx_31626,hx_31626,c_14,,,ordinary,13,11.772,0.5128,0.96,0.6662,6,7,30,medium,middle,false,false,false,false,
manor_hx_31846,hx_31846,c_10,abbey_site,abbey_site,elite,4,3.3564,0.7708,0.845,0.5186,2,3,12,small,bottom,true,false,false,false,
