site_id,hex_id,county_id,is_market_town,is_county_seat,is_royal_seat,is_royal_castle,is_bishop_seat,is_abbey,is_baronial_seat
manor_hx_18675,hx_18675,c_7,false,false,false,false,false,true,false
manor_hx_18955,hx_18955,c_7,true,true,false,false,true,false,false
manor_hx_19236,hx_19236,c_7,false,false,false,false,false,false,true
manor_hx_20643,hx_20643,c_7,false,false,false,false,false,false,true
manor_hx_20924,hx_20924,c_7,false,false,false,false,false,true,false
manor_hx_21492,hx_21492,c_7,false,false,false,false,false,false,true
manor_hx_22897,hx_22897,c_7,false,false,false,false,false,true,false
manor_hx_22898,hx_22898,c_7,false,false,false,false,false,false,true
manor_hx_23449,hx_23449,c_7,false,false,false,false,false,false,true
manor_hx_23450,hx_23450,c_7,false,false,false,false,false,true,false
manor_hx_24602,hx_24602,c_9,false,false,false,false,false,true,false
manor_hx_25425,hx_25425,c_3,false,false,false,false,false,false,true
manor_hx_25963,hx_25963,c_10,false,false,false,false,false,false,true
manor_hx_26236,hx_26236,c_10,false,false,false,false,false,true,false
manor_hx_26561,hx_26561,c_14,false,false,false,false,false,true,false
manor_hx_26808,hx_26808,c_10,false,false,false,false,false,true,false
manor_hx_27394,hx_27394,c_3,false,false,false,false,false,true,false
manor_hx_27395,hx_27395,c_3,false,false,false,false,false,false,true
manor_hx_28247,hx_28247,c_14,false,false,false,false,false,false,false
manor_hx_28499,hx_28499,c_3,false,false,false,false,false,false,true
manor_hx_28525,hx_28525,c_14,true,true,false,false,true,false,false
manor_hx_28526,hx_28526,c_14,false,false,false,false,false,false,true
manor_hx_28774,hx_28774,c_10,false,false,false,false,false,false,true
manor_hx_28784,hx_28784,c_3,true,true,false,false,true,false,false
manor_hx_28785,hx_28785,c_3,false,false,false,false,false,false,true
manor_hx_28801,hx_28801,c_3,false,false,false,false,false,true,false
manor_hx_29082,hx_29082,c_3,false,false,false,false,false,false,true
manor_hx_29363,hx_29363,c_3,false,false,false,false,false,false,false
manor_hx_29372,hx_29372,c_14,false,false,false,false,false,false,true
manor_hx_29632,hx_29632,c_3,false,false,false,false,false,true,false
manor_hx_29651,hx_29651,c_14,false,false,false,false,false,false,false
manor_hx_29652,hx_29652,c_14,false,false,false,false,false,true,false
