id,type,route_access_score,route_degree,travel_cost_to_nearest_market_town,travel_cost_to_nearest_county_seat,travel_cost_to_nearest_bishop_seat,nearest_trunk_route_distance
manor_hx_18675,elite_complex,0.7024,2,1.384,1.384,1.384,0
manor_hx_18679,ordinary,0.5151,2,6.92,6.92,6.92,0
manor_hx_18955,elite_complex,0.7492,6,0,0,0,0
manor_hx_19236,elite_complex,0.7024,1,1.384,1.384,1.384,0
manor_hx_19801,ordinary,0.5027,5,8.304,8.304,8.304,0
manor_hx_20086,ordinary,0.4608,3,15.224,15.224,15.224,5.536
manor_hx_20359,ordinary,0.5151,3,11.072,11.072,11.072,0
manor_hx_20372,ordinary,0.3446,3,26.296,26.296,26.296,5.536
manor_hx_20643,elite_complex,0.6283,4,11.072,11.072,11.072,0
manor_hx_20924,elite_complex,0.6702,4,12.456,12.456,12.456,0
manor_hx_20925,ordinary,0.6283,6,13.84,13.84,13.84,0
manor_hx_20930,ordinary,0.4189,5,20.76,20.76,20.76,0
manor_hx_21492,elite_complex,0.4595,4,23.528,23.528,23.528,0
manor_hx_21494,ordinary,0.4021,5,26.296,26.296,26.296,0
manor_hx_21764,ordinary,0.5445,6,16.608,16.608,16.608,0
manor_hx_22052,ordinary,0.4021,7,26.296,26.296,26.296,0
manor_hx_22328,ordinary,0.4608,5,20.76,20.76,20.76,0
manor_hx_22603,ordinary,0.377,2,22.144,22.144,22.144,5.536
manor_hx_22619,ordinary,0.4071,4,31.832,31.832,31.832,0
manor_hx_22896,ordinary,0.4697,5,30.448,30.448,30.448,0
manor_hx_22897,elite_complex,0.501,4,29.064,29.064,29.064,0
manor_hx_22898,elite_complex,0.4697,4,29.064,29.064,29.064,0
manor_hx_23167,ordinary,0.3837,7,23.528,23.528,23.528,0
manor_hx_23183,ordinary,0.3131,3,27.68,27.68,27.68,5.536
manor_hx_23449,elite_complex,0.4428,3,26.296,26.296,26.296,0
manor_hx_23450,elite_complex,0.4723,5,26.296,26.296,26.296,0
manor_hx_23451,ordinary,0.4428,8,26.296,26.296,26.296,0
manor_hx_23478,ordinary,0.3748,1,27.072,27.072,27.072,5.536
manor_hx_23735,ordinary,0.3444,6,26.296,26.296,26.296,5.536
manor_hx_23740,ordinary,0.4071,5,24.912,24.912,24.912,0
manor_hx_24043,ordinary,0.3976,3,27.072,27.072,27.072,0
manor_hx_24290,ordinary,0.3837,7,22.144,22.144,22.144,0
manor_hx_24304,ordinary,0.2818,4,23.528,23.528,23.528,5.536
manor_hx_24574,ordinary,0.3542,5,20.76,20.76,20.76,0
manor_hx_24601,ordinary,0.4588,6,21.536,21.536,21.536,0
manor_hx_24602,elite_complex,0.4894,3,22.92,22.92,22.92,0
manor_hx_25121,ordinary,0.3425,3,34.6,34.6,34.6,0
manor_hx_25143,ordinary,0.2783,11,17.992,17.992,17.992,0
manor_hx_25165,ordinary,0.3976,3,27.072,27.072,27.072,0
manor_hx_25412,ordinary,0.2657,4,17.992,17.992,17.992,0
manor_hx_25425,elite_complex,0.3181,4,20.76,20.76,20.76,0
manor_hx_25427,ordinary,0.2783,5,23.528,23.528,23.528,0
manor_hx_25688,ordinary,0.3138,6,24.912,24.912,24.912,5.536
manor_hx_25963,elite_complex,0.4216,3,31.832,31.832,31.832,0
manor_hx_25965,ordinary,0.3689,6,29.064,29.064,29.064,0
manor_hx_26236,elite_complex,0.218,1,47.774,47.774,47.774,0
manor_hx_26242,ordinary,0.3689,5,34.6,34.6,34.6,0
manor_hx_26256,ordinary,0.3436,8,12.456,12.456,12.456,5.536
manor_hx_26532,ordinary,0.3865,4,19.376,19.376,19.376,5.536
manor_hx_26548,ordinary,0.3038,6,17.992,17.992,17.992,0
manor_hx_26561,elite_complex,0.4521,2,10.228,10.228,10.228,0
manor_hx_26808,elite_complex,0.4184,4,24.912,24.912,24.912,0
manor_hx_26809,ordinary,0.3922,5,23.528,23.528,23.528,0
manor_hx_26832,ordinary,0.4253,5,17.992,17.992,17.992,0
manor_hx_27086,ordinary,0.3399,5,29.064,29.064,29.064,0
manor_hx_27116,ordinary,0.5651,5,12.456,12.456,12.456,0
manor_hx_27379,ordinary,0.5153,7,6.92,6.92,6.92,5.536
manor_hx_27383,ordinary,0.5051,7,6.92,6.92,6.92,5.536
manor_hx_27394,elite_complex,0.5086,4,16.608,16.608,16.608,0
manor_hx_27395,elite_complex,0.5651,4,15.224,15.224,15.224,0
manor_hx_27400,ordinary,0.6216,7,6.92,6.92,6.92,0
manor_hx_27685,ordinary,0.6303,7,4.152,4.152,4.152,0
manor_hx_27937,ordinary,0.6012,7,12.456,12.456,12.456,0
manor_hx_27949,ordinary,0.3674,5,11.072,11.072,11.072,5.536
manor_hx_27955,ordinary,0.5651,7,17.992,17.992,17.992,0
manor_hx_28211,ordinary,0.4348,6,22.144,22.144,22.144,0
manor_hx_28247,strategic,0.6303,3,4.152,4.152,4.152,0
manor_hx_28495,ordinary,0.5153,6,16.608,16.608,16.608,0
manor_hx_28499,elite_complex,0.6871,3,12.456,12.456,12.456,0
manor_hx_28503,ordinary,0.6888,6,1.384,1.384,1.384,0
manor_hx_28507,ordinary,0.551,6,5.536,5.536,5.536,0
manor_hx_28519,ordinary,0.7911,6,13.84,13.84,13.84,0
manor_hx_28525,elite_complex,0.7757,6,0,0,0,0
manor_hx_28526,elite_complex,0.7272,4,1.384,1.384,1.384,0
manor_hx_28529,ordinary,0.5818,6,5.536,5.536,5.536,0
manor_hx_28774,elite_complex,0.5351,3,19.376,19.376,19.376,0
manor_hx_28784,elite_complex,0.7347,6,0,0,0,0
manor_hx_28785,elite_complex,0.6888,4,1.384,1.384,1.384,0
