site_id,hex_id,assigned_roles,county_id,market_town_score,county_seat_score,royal_seat_score,royal_castle_score,bishop_seat_score,abbey_site_score,baronial_seat_score,route_centrality_score,crossing_score,defensibility_score,lordship_attraction_score
manor_hx_22645,hx_22645,,c_4,0.5827,0.5908,0.607,0.5977,0.5643,0.442,0.6153,0.4465,0.6759,0.67,0.5947
manor_hx_22650,hx_22650,,c_4,0.7069,0.7252,0.6966,0.6555,0.7026,0.5445,0.6895,0.664,0.7591,0.62,0.6474
manor_hx_22676,hx_22676,,c_9,0.6352,0.6513,0.6134,0.5733,0.6396,0.5011,0.6317,0.5854,0.5283,0.62,0.5676
manor_hx_22685,hx_22685,,c_9,0.5285,0.6297,0.598,0.6501,0.6267,0.5573,0.6146,0.5523,0.5726,0.7033,0.6188
manor_hx_22955,hx_22955,baronial_seat,c_9,0.8894,0.8799,0.7118,0.4083,0.9433,0.7574,0.7959,0.669,0.2964,0.18,0.5688
manor_hx_23207,hx_23207,baronial_seat,c_4,0.9309,0.9017,0.756,0.4519,0.9129,0.7076,0.755,0.7352,0.4326,0.13,0.6365
manor_hx_23213,hx_23213,baronial_seat,c_4,0.9157,0.8928,0.7268,0.4156,0.9154,0.7404,0.7345,0.646,0.3492,0.08,0.6221
manor_hx_23246,hx_23246,baronial_seat,c_9,0.7684,0.8339,0.6851,0.4799,0.86,0.7473,0.7067,0.6373,0.3212,0.23,0.6405
manor_hx_23481,hx_23481,baronial_seat,c_4,0.8051,0.8742,0.7334,0.5767,0.8947,0.6956,0.8037,0.6842,0.4288,0.62,0.5778
manor_hx_23482,hx_23482,,c_4,0.6983,0.7399,0.6714,0.5968,0.7203,0.5614,0.6846,0.6414,0.5494,0.62,0.5957
manor_hx_23488,hx_23488,county_seat|county_castle|bishop_seat|market_town,c_4,1,1,0.7988,0.4258,1,0.9129,0.9334,0.7842,0.3109,0.08,0.6389
manor_hx_23493,hx_23493,abbey_site,c_4,1,1,0.7885,0.4173,1,0.9058,0.925,0.6891,0.3492,0.08,0.6281
manor_hx_23506,hx_23506,,c_9,0.6921,0.679,0.6842,0.6261,0.6473,0.4646,0.6704,0.6644,0.7525,0.62,0.6244
manor_hx_23511,hx_23511,,c_9,0.6671,0.6204,0.6398,0.5857,0.583,0.4046,0.6416,0.5282,0.7621,0.62,0.5844
manor_hx_23520,hx_23520,county_seat|bishop_seat|market_town,c_9,1,1,0.756,0.3754,1,0.9308,0.8915,0.5727,0.1804,0.08,0.6003
manor_hx_23526,hx_23526,abbey_site,c_9,0.9942,1,0.7811,0.4448,1,0.9394,0.8871,0.6798,0.1955,0.18,0.6346
manor_hx_23782,hx_23782,,c_4,0.7389,0.7453,0.7125,0.6605,0.7212,0.5558,0.7056,0.6535,0.7834,0.62,0.6563
manor_hx_23800,hx_23800,abbey_site,c_9,0.9086,0.8611,0.6631,0.3302,0.9131,0.7626,0.6947,0.5369,0,0.08,0.5674
manor_hx_23801,hx_23801,baronial_seat,c_9,0.9085,0.8713,0.6687,0.3381,0.9251,0.7824,0.6998,0.5369,0,0.08,0.5781
manor_hx_24034,hx_24034,,c_5,0.5259,0.5512,0.5958,0.5983,0.5471,0.4852,0.5807,0.4087,0.6202,0.62,0.641
manor_hx_24039,hx_24039,,c_5,0.6933,0.6739,0.646,0.5705,0.6633,0.4865,0.6425,0.6892,0.5412,0.57,0.581
manor_hx_24066,hx_24066,baronial_seat,c_9,0.9775,0.9221,0.7906,0.4469,0.9244,0.6674,0.7677,0.8798,0.4816,0.08,0.6348
