manor_id,seat_hex_id,county_id,primary_role,seat_roles,seat_archetype,hex_count,total_net_productive_capacity,avg_water_access_score,avg_buildability_score,route_access_score,route_degree,territorial_degree,estimated_peasant_households,manor_size_class,capacity_quantile_band,is_elite,was_repaired,was_merged,was_split,residual_share
manor_hx_22645,hx_22645,c_4,,,strategic,13,8.9589,0.391,0.7508,0.6372,4,5,11,small,middle,false,false,false,false,
manor_hx_22650,hx_22650,c_4,,,strategic,14,10.2383,0.5476,0.7657,0.664,4,4,13,small,middle,false,false,false,false,
manor_hx_22676,hx_22676,c_9,,,strategic,11,7.038,0.4167,0.6964,0.5854,3,4,15,small,middle,false,false,false,false,
manor_hx_22685,hx_22685,c_9,,,strategic,12,6.4034,0.9097,0.51,0.5523,2,3,19,small,middle,false,false,false,false,
manor_hx_22932,hx_22932,c_4,,,ordinary,10,8.4443,0.825,0.824,0.603,4,4,12,small,middle,false,false,false,false,
manor_hx_22937,hx_22937,c_4,,,ordinary,18,9.4839,0.9028,0.5189,0.4662,4,5,9,small,middle,false,false,false,false,
manor_hx_22955,hx_22955,c_9,baronial_seat,baronial_seat,elite,4,3.5732,0.4583,0.96,0.669,3,3,11,small,bottom,true,false,false,false,
manor_hx_23207,hx_23207,c_4,baronial_seat,baronial_seat,elite,4,3.7233,0.625,0.96,0.7352,3,3,8,small,bottom,true,false,false,false,
manor_hx_23213,hx_23213,c_4,baronial_seat,baronial_seat,elite,4,3.7801,0.6875,0.96,0.646,4,5,7,small,bottom,true,false,false,false,
manor_hx_23239,hx_23239,c_9,,,ordinary,9,7.7451,0.6296,0.8844,0.5369,6,6,7,small,middle,false,false,false,false,
manor_hx_23243,hx_23243,c_9,,,ordinary,16,9.7541,0.875,0.6025,0.5523,5,5,14,small,middle,false,false,false,false,
manor_hx_23246,hx_23246,c_9,baronial_seat,baronial_seat,elite,4,3.9534,0.875,0.96,0.6373,5,5,10,small,middle,true,false,false,false,
manor_hx_23481,hx_23481,c_4,baronial_seat,baronial_seat,elite,4,3.4089,0.625,0.875,0.6842,3,3,9,small,bottom,true,false,false,false,
manor_hx_23482,hx_23482,c_4,,,strategic,10,6.0802,0.4917,0.652,0.6414,2,4,18,small,middle,false,false,false,false,
manor_hx_23488,hx_23488,c_4,county_seat,county_seat|county_castle|bishop_seat|market_town,elite,14,13.1456,0.6607,0.96,0.7842,7,8,37,medium,middle,true,false,false,false,
manor_hx_23493,hx_23493,c_4,abbey_site,abbey_site,elite,4,3.7041,0.6041,0.96,0.6891,4,4,8,small,bottom,true,false,false,false,
manor_hx_23506,hx_23506,c_9,,,strategic,17,10.9426,0.2155,0.74,0.7625,5,5,10,small,middle,false,false,false,false,
manor_hx_23511,hx_23511,c_9,,,strategic,20,13.294,0.0845,0.79,0.6642,5,6,33,medium,middle,false,true,false,false,
manor_hx_23520,hx_23520,c_9,county_seat,county_seat|bishop_seat|market_town,elite,11,10.8065,0.8561,0.96,0.5727,5,6,12,small,middle,true,false,false,false,
manor_hx_23526,hx_23526,c_9,abbey_site,abbey_site,elite,4,3.9729,0.8958,0.96,0.6798,3,4,13,small,middle,true,false,false,false,
manor_hx_23776,hx_23776,c_4,,,ordinary,9,8.4817,0.6759,0.96,0.5599,6,7,8,small,middle,false,false,false,false,
manor_hx_23782,hx_23782,c_4,,,strategic,11,5.3849,0.6288,0.5091,0.6535,4,4,12,small,middle,false,false,false,false,
manor_hx_23800,hx_23800,c_9,abbey_site,abbey_site,elite,4,3.8953,0.8125,0.96,0.5369,5,5,12,small,middle,true,false,false,false,
manor_hx_23801,hx_23801,c_9,baronial_seat,baronial_seat,elite,4,3.9767,0.9375,0.96,0.5369,4,4,10,small,middle,true,false,false,false,
manor_hx_24034,hx_24034,c_5,,,strategic,12,7.0261,0.6597,0.6033,0.75,3,4,14,small,middle,false,false,false,false,
manor_hx_24039,hx_24039,c_5,,,strategic,9,6.9401,0.3704,0.8467,0.6892,4,5,17,small,middle,false,true,false,false,
manor_hx_24042,hx_24042,c_5,,,ordinary,9,6.2525,0.4352,0.7511,0.6892,3,3,12,small,middle,false,true,false,false,
manor_hx_24046,hx_24046,c_4,,,ordinary,12,11.152,0.6181,0.96,0.6463,7,8,15,small,middle,false,false,false,false,
manor_hx_24052,hx_24052,c_4,,,ordinary,10,9.5363,0.725,0.96,0.5881,5,6,10,small,middle,false,false,false,false,
manor_hx_24066,hx_24066,c_9,baronial_seat,baronial_seat,elite,4,3.4075,0.2708,0.96,0.8798,2,2,9,small,bottom,true,false,false,false,
manor_hx_24073,hx_24073,c_9,baronial_seat,baronial_seat,elite,4,3.3712,0.2292,0.96,0.7664,4,4,6,small,bottom,true,false,false,false,
