site_id,hex_id,county_id,is_market_town,is_county_seat,is_royal_seat,is_royal_castle,is_bishop_seat,is_abbey,is_baronial_seat
manor_hx_22645,hx_22645,c_4,false,false,false,false,false,false,false
manor_hx_22650,hx_22650,c_4,false,false,false,false,false,false,false
manor_hx_22676,hx_22676,c_9,false,false,false,false,false,false,false
manor_hx_22685,hx_22685,c_9,false,false,false,false,false,false,false
manor_hx_22955,hx_22955,c_9,false,false,false,false,false,false,true
manor_hx_23207,hx_23207,c_4,false,false,false,false,false,false,true
manor_hx_23213,hx_23213,c_4,false,false,false,false,false,false,true
manor_hx_23246,hx_23246,c_9,false,false,false,false,false,false,true
manor_hx_23481,hx_23481,c_4,false,false,false,false,false,false,true
manor_hx_23482,hx_23482,c_4,false,false,false,false,false,false,false
manor_hx_23488,hx_23488,c_4,true,true,false,false,true,false,false
manor_hx_23493,hx_23493,c_4,false,false,false,false,false,true,false
manor_hx_23506,hx_23506,c_9,false,false,false,false,false,false,false
manor_hx_23511,hx_23511,c_9,false,false,false,false,false,false,false
manor_hx_23520,hx_23520,c_9,true,true,false,false,true,false,false
manor_hx_23526,hx_23526,c_9,false,false,false,false,false,true,false
manor_hx_23782,hx_23782,c_4,false,false,false,false,false,false,false
manor_hx_23800,hx_23800,c_9,false,false,false,false,false,true,false
manor_hx_23801,hx_23801,c_9,false,false,false,false,false,false,true
manor_hx_24034,hx_24034,c_5,false,false,false,false,false,false,false
manor_hx_24039,hx_24039,c_5,false,false,false,false,false,false,false
manor_hx_24066,hx_24066,c_9,false,false,false,false,false,false,true
manor_hx_24073,hx_24073,c_9,false,false,false,false,false,false,true
manor_hx_24303,hx_24303,c_6,false,false,false,false,false,false,false
manor_hx_24308,hx_24308,c_5,false,false,false,false,false,false,false
manor_hx_24326,hx_24326,c_4,false,false,false,false,false,true,false
manor_hx_24341,hx_24341,c_4,false,false,false,false,false,false,true
manor_hx_24347,hx_24347,c_4,true,true,false,false,true,false,false
manor_hx_24354,hx_24354,c_9,false,false,false,false,false,true,false
manor_hx_24583,hx_24583,c_6,true,true,false,false,true,false,false
manor_hx_24589,hx_24589,c_5,false,false,false,false,false,false,true
manor_hx_24622,hx_24622,c_4,false,false,false,false,false,true,false
manor_hx_24864,hx_24864,c_6,false,false,false,false,false,false,true
manor_hx_24882,hx_24882,c_5,true,true,false,false,true,false,false
manor_hx_24888,hx_24888,c_4,false,false,false,false,false,false,true
manor_hx_25153,hx_25153,c_5,true,true,false,false,true,false,false
manor_hx_25154,hx_25154,c_5,false,false,false,false,false,true,false
manor_hx_25155,hx_25155,c_5,false,false,false,false,false,false,true
manor_hx_25162,hx_25162,c_5,false,false,false,false,false,true,false
manor_hx_25163,hx_25163,c_4,false,false,false,false,false,false,true
manor_hx_25209,hx_25209,c_9,false,false,false,false,false,false,true
manor_hx_25706,hx_25706,c_6,false,false,false,false,false,false,false
manor_hx_25708,hx_25708,c_6,false,false,false,false,false,true,false
manor_hx_25770,hx_25770,c_9,true,true,false,false,true,false,false
manor_hx_26054,hx_26054,c_9,false,false,false,false,false,false,false
manor_hx_26270,hx_26270,c_6,false,false,false,false,false,false,true
manor_hx_26840,hx_26840,c_5,false,false,false,false,false,false,true
manor_hx_26894,hx_26894,c_9,false,false,false,false,false,false,true
manor_hx_27120,hx_27120,c_5,false,false,false,false,false,true,false
manor_hx_27156,hx_27156,c_9,false,false,false,false,false,false,true
manor_hx_27174,hx_27174,c_9,false,false,false,false,false,true,false
manor_hx_27657,hx_27657,c_6,false,false,false,false,false,false,false
manor_hx_28526,hx_28526,c_5,false,false,false,false,false,false,true
manor_hx_28561,hx_28561,c_9,false,false,false,false,false,true,false
manor_hx_28789,hx_28789,c_6,false,false,false,false,false,false,true
manor_hx_28807,hx_28807,c_5,false,false,false,false,false,true,false
manor_hx_28842,hx_28842,c_4,false,false,false,false,false,false,true
manor_hx_29351,hx_29351,c_6,false,false,false,false,false,true,false
manor_hx_29422,hx_29422,c_8,false,false,false,false,false,false,true
manor_hx_29632,hx_29632,c_6,false,false,false,false,false,false,false
manor_hx_29702,hx_29702,c_8,true,true,false,false,true,false,false
manor_hx_29703,hx_29703,c_8,false,false,false,false,false,true,false
manor_hx_29936,hx_29936,c_5,false,false,false,false,false,true,false
manor_hx_30183,hx_30183,c_6,false,false,false,false,false,true,false
manor_hx_30188,hx_30188,c_13,false,false,false,false,false,false,false
manor_hx_30191,hx_30191,c_6,false,false,false,true,false,false,false
manor_hx_30217,hx_30217,c_5,false,false,false,false,false,false,true
manor_hx_30471,hx_30471,c_6,false,false,false,false,false,false,true
manor_hx_30751,hx_30751,c_6,true,true,false,false,false,false,false
manor_hx_31036,hx_31036,c_6,false,false,false,false,false,false,false
manor_hx_31039,hx_31039,c_11,false,false,false,false,false,false,true
manor_hx_31352,hx_31352,c_1,false,false,false,false,false,false,true
manor_hx_31596,hx_31596,c_6,false,false,false,false,false,true,false
manor_hx_31661,hx_31661,c_8,false,false,false,false,false,true,false
manor_hx_31662,hx_31662,c_8,false,false,false,false,false,false,true
manor_hx_32156,hx_32156,c_6,false,false,false,false,false,false,true
manor_hx_32201,hx_32201,c_1,false,false,false,false,false,false,true
manor_hx_32202,hx_32202,c_1,false,false,false,false,false,true,false
manor_hx_32757,hx_32757,c_1,false,false,false,false,false,true,false
manor_hx_33038,hx_33038,c_1,false,false,false,false,false,false,true
manor_hx_33893,hx_33893,c_1,false,false,false,false,false,true,false
manor_hx_33901,hx_33901,c_1,false,false,false,false,false,true,false
manor_hx_33902,hx_33902,c_11,false,false,false,false,false,false,true
manor_hx_34098,hx_34098,c_13,false,false,false,false,false,false,false
