id,type,route_access_score,route_degree,travel_cost_to_nearest_market_town,travel_cost_to_nearest_county_seat,travel_cost_to_nearest_bishop_seat,nearest_trunk_route_distance
manor_hx_22645,strategic,0.6372,4,6.296,6.296,6.296,0
manor_hx_22650,strategic,0.664,4,7.68,7.68,7.68,0
manor_hx_22676,strategic,0.5854,3,6.296,6.296,6.296,0
manor_hx_22685,strategic,0.5523,2,14.736,14.736,14.736,0
manor_hx_22932,ordinary,0.603,4,9.688,9.688,9.688,0
manor_hx_22937,ordinary,0.4662,4,16.608,16.608,16.608,0
manor_hx_22955,elite_complex,0.669,3,6.92,6.92,6.92,0
manor_hx_23207,elite_complex,0.7352,3,1.384,1.384,1.384,0
manor_hx_23213,elite_complex,0.646,4,8.304,8.304,8.304,0
manor_hx_23239,ordinary,0.5369,6,1.384,1.384,1.384,0
manor_hx_23243,ordinary,0.5523,5,5.536,5.536,5.536,0
manor_hx_23246,elite_complex,0.6373,5,12.456,12.456,12.456,0
manor_hx_23481,elite_complex,0.6842,3,7.68,7.68,7.68,0
manor_hx_23482,strategic,0.6414,2,10.584,10.584,10.584,0
manor_hx_23488,elite_complex,0.7842,7,0,0,0,0
manor_hx_23493,elite_complex,0.6891,4,6.92,6.92,6.92,0
manor_hx_23506,strategic,0.7625,5,4.912,4.912,4.912,0
manor_hx_23511,strategic,0.6642,5,14.736,14.736,14.736,0
manor_hx_23520,elite_complex,0.5727,5,0,0,0,0
manor_hx_23526,elite_complex,0.6798,3,11.072,11.072,11.072,0
manor_hx_23776,ordinary,0.5599,6,11.072,11.072,11.072,0
manor_hx_23782,strategic,0.6535,4,7.68,7.68,7.68,0
manor_hx_23800,elite_complex,0.5369,5,1.384,1.384,1.384,0
manor_hx_23801,elite_complex,0.5369,4,1.384,1.384,1.384,0
manor_hx_24034,strategic,0.75,3,9.064,9.064,9.064,0
manor_hx_24039,strategic,0.6892,4,4.912,4.912,4.912,0
manor_hx_24042,ordinary,0.6892,3,4.152,4.152,4.152,0
manor_hx_24046,ordinary,0.6463,7,5.536,5.536,5.536,0
manor_hx_24052,ordinary,0.5881,5,5.536,5.536,5.536,0
manor_hx_24066,elite_complex,0.8798,2,1.384,1.384,1.384,0
manor_hx_24073,elite_complex,0.7664,4,15.224,15.224,15.224,0
manor_hx_24303,strategic,0.8829,4,4.28,4.28,4.28,0
manor_hx_24308,strategic,0.872,6,10.576,10.576,10.576,0
manor_hx_24326,elite_complex,0.6894,4,6.92,6.92,6.92,0
manor_hx_24341,elite_complex,0.6994,3,9.688,9.688,9.688,0
manor_hx_24347,elite_complex,0.9385,5,0,0,0,0
manor_hx_24354,elite_complex,0.8175,3,13.84,13.84,13.84,0
manor_hx_24359,ordinary,0.562,8,5.536,5.536,5.536,0
