manor_id,seat_hex_id,county_id,primary_role,seat_roles,seat_archetype,hex_count,total_net_productive_capacity,avg_water_access_score,avg_buildability_score,route_access_score,route_degree,territorial_degree,estimated_peasant_households,manor_size_class,capacity_quantile_band,holding_id,holding_type,holding_tier,bishopric_id,archbishopric_id,immediate_lord_actor_id,superior_lord_actor_id,holder_actor_id,holder_actor_type,church_holder_kind,tenure_basis,service_basis,default_succession_incidents,forest_overlay_status,vacancy_rule_family,is_elite,was_repaired,was_merged,was_split,residual_share
manor_hx_26597,hx_26597,c_2,,,strategic,76,36.3994,0.8816,0.4021,0.2372,6,6,115,large,top,church_fief_hx_28841,church_fief,direct,bishopric_hx_31094,archbishopric_01,actor_abbey_hx_28841,actor_crown,actor_abbey_hx_28841,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,false,false,false,true,
manor_hx_27972,hx_27972,c_6,baronial_seat,baronial_seat,elite,4,3.9144,0.8333,0.96,0.3631,3,3,6,small,middle,barony_hx_27972,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_27972,actor_crown,actor_baron_hx_27972,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_27973,hx_27973,c_6,,,ordinary,68,38.6331,0.8468,0.5085,0.3404,4,5,110,large,top,church_fief_hx_29372,church_fief,direct,bishopric_hx_35003,archbishopric_02,actor_abbey_hx_29372,actor_crown,actor_abbey_hx_29372,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,false,false,false,false,
manor_hx_28538,hx_28538,c_6,,,ordinary,63,34.537,0.869,0.487,0.2269,3,3,36,medium,top,barony_hx_29371,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_29371,actor_crown,actor_baron_hx_29371,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_28811,hx_28811,c_6,,,ordinary,115,66.1061,0.6768,0.5318,0.3593,5,5,143,large,top,church_fief_hx_29372,church_fief,direct,bishopric_hx_35003,archbishopric_02,actor_abbey_hx_29372,actor_crown,actor_abbey_hx_29372,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,false,false,false,false,
manor_hx_28840,hx_28840,c_2,baronial_seat,baronial_seat,elite,4,2.937,0.8125,0.7,0.4448,2,2,6,small,bottom,barony_hx_28840,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_28840,actor_crown,actor_baron_hx_28840,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_28841,hx_28841,c_2,abbey_site,abbey_site,elite,4,2.6192,0.9167,0.585,0.4745,3,2,11,small,bottom,church_fief_hx_28841,church_fief,direct,bishopric_hx_31094,archbishopric_01,actor_abbey_hx_28841,actor_crown,actor_abbey_hx_28841,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_29096,hx_29096,c_6,,,ordinary,12,11.3214,0.6806,0.96,0.2823,6,6,48,medium,middle,barony_hx_29371,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_29371,actor_crown,actor_baron_hx_29371,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_29126,hx_29126,c_1,baronial_seat,baronial_seat,elite,4,2.2104,0.9792,0.38,0.3712,3,2,13,small,bottom,barony_hx_29126,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_29126,actor_crown,actor_baron_hx_29126,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_29369,hx_29369,c_6,,,ordinary,93,58.0231,0.5631,0.6284,0.3336,4,5,146,large,top,barony_hx_29371,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_29371,actor_crown,actor_baron_hx_29371,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_29371,hx_29371,c_6,baronial_seat,baronial_seat,elite,4,3.723,0.625,0.96,0.3849,4,4,9,small,bottom,barony_hx_29371,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_29371,actor_crown,actor_baron_hx_29371,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_29372,hx_29372,c_6,abbey_site,abbey_site,elite,4,3.7421,0.6458,0.96,0.4106,4,6,11,small,bottom,church_fief_hx_29372,church_fief,direct,bishopric_hx_35003,archbishopric_02,actor_abbey_hx_29372,actor_crown,actor_abbey_hx_29372,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
manor_hx_29412,hx_29412,c_1,baronial_seat,baronial_seat,elite,4,2.9404,0.8333,0.7,0.4724,3,3,13,small,bottom,barony_hx_29412,barony,mesne,bishopric_hx_31094,archbishopric_01,actor_baron_hx_29412,actor_crown,actor_baron_hx_29412,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,true,false,false,false,
manor_hx_29660,hx_29660,c_6,,,ordinary,59,39.5991,0.8093,0.6092,0.2053,6,6,127,large,top,barony_hx_34437,barony,mesne,bishopric_hx_35003,archbishopric_02,actor_baron_hx_34437,actor_crown,actor_baron_hx_34437,baron,,baronial_tenure,counsel_and_attendance|military_service|mesne_lordship,relief|wardship|marriage_right|escheat|forfeiture,inactive,lay_escheat,false,false,false,false,
manor_hx_29691,hx_29691,c_1,abbey_site,abbey_site,elite,4,3.6462,0.7084,0.96,0.5399,3,3,11,small,bottom,church_fief_hx_29691,church_fief,direct,bishopric_hx_31094,archbishopric_01,actor_abbey_hx_29691,actor_crown,actor_abbey_hx_29691,abbey,abbey,church_temporalities,temporal_service|court_attendance|servitium_regis,ecclesiastical_vacancy,inactive,ecclesiastical_temporalities_in_hand,true,false,false,false,
