site_id,hex_id,county_id,is_market_town,is_county_seat,is_royal_seat,is_royal_castle,is_bishop_seat,is_abbey,is_baronial_seat
manor_hx_26597,hx_26597,c_2,false,false,false,false,false,false,false
manor_hx_27972,hx_27972,c_6,false,false,false,false,false,false,true
manor_hx_28840,hx_28840,c_2,false,false,false,false,false,false,true
manor_hx_28841,hx_28841,c_2,false,false,false,false,false,true,false
manor_hx_29126,hx_29126,c_1,false,false,false,false,false,false,true
manor_hx_29371,hx_29371,c_6,false,false,false,false,false,false,true
manor_hx_29372,hx_29372,c_6,false,false,false,false,false,true,false
manor_hx_29412,hx_29412,c_1,false,false,false,false,false,false,true
manor_hx_29691,hx_29691,c_1,false,false,false,false,false,true,false
manor_hx_30260,hx_30260,c_1,false,false,false,false,false,true,false
manor_hx_30262,hx_30262,c_1,false,false,false,false,false,false,true
manor_hx_31093,hx_31093,c_1,false,false,false,false,false,false,true
manor_hx_31094,hx_31094,c_1,true,true,false,false,true,false,false
manor_hx_31643,hx_31643,c_2,false,false,false,false,false,true,false
manor_hx_32204,hx_32204,c_2,false,false,false,false,false,false,true
manor_hx_32219,hx_32219,c_1,false,false,false,false,false,false,true
manor_hx_32475,hx_32475,c_2,false,false,false,false,false,false,true
manor_hx_32485,hx_32485,c_2,true,true,false,false,true,false,false
manor_hx_32760,hx_32760,c_2,false,false,false,false,false,true,false
manor_hx_32770,hx_32770,c_2,false,false,false,false,false,false,true
manor_hx_32802,hx_32802,c_3,false,false,false,false,false,false,true
manor_hx_33050,hx_33050,c_2,false,false,false,false,false,true,false
manor_hx_33083,hx_33083,c_3,false,false,false,false,false,true,false
manor_hx_33886,hx_33886,c_2,false,false,false,false,false,false,true
manor_hx_33900,hx_33900,c_1,false,false,false,false,false,true,false
manor_hx_33915,hx_33915,c_5,false,false,false,false,false,true,false
manor_hx_34157,hx_34157,c_2,false,false,false,false,false,true,false
manor_hx_34181,hx_34181,c_2,false,false,false,false,false,false,true
manor_hx_34201,hx_34201,c_3,false,false,false,false,false,false,true
manor_hx_34404,hx_34404,c_8,false,false,false,false,false,false,true
manor_hx_34437,hx_34437,c_6,false,false,false,false,false,false,true
manor_hx_34476,hx_34476,c_5,false,false,false,false,false,false,true
manor_hx_34487,hx_34487,c_3,true,true,false,false,true,false,false
manor_hx_34488,hx_34488,c_3,false,false,false,false,false,false,true
manor_hx_34491,hx_34491,c_3,false,false,false,false,false,false,false
manor_hx_34770,hx_34770,c_3,false,false,false,false,false,true,false
manor_hx_35003,hx_35003,c_4,true,true,false,false,true,false,false
manor_hx_35283,hx_35283,c_4,false,false,false,false,false,false,true
manor_hx_35602,hx_35602,c_5,false,false,false,false,false,true,false
manor_hx_35807,hx_35807,c_8,false,false,false,false,false,true,false
manor_hx_35821,hx_35821,c_8,false,false,false,false,false,true,false
manor_hx_35882,hx_35882,c_5,true,true,false,false,false,false,false
manor_hx_35883,hx_35883,c_5,false,false,false,false,false,false,true
manor_hx_36087,hx_36087,c_8,false,false,false,false,false,false,true
manor_hx_36396,hx_36396,c_6,false,false,false,false,false,true,false
manor_hx_36709,hx_36709,c_5,false,false,false,false,false,false,true
manor_hx_36718,hx_36718,c_5,false,false,false,false,false,false,true
manor_hx_36745,hx_36745,c_7,false,false,false,false,false,false,false
manor_hx_36951,hx_36951,c_6,false,false,false,false,false,true,false
manor_hx_36989,hx_36989,c_5,false,false,false,false,false,true,false
manor_hx_36998,hx_36998,c_5,false,false,false,false,false,true,false
manor_hx_37233,hx_37233,c_6,false,false,false,false,false,false,true
manor_hx_37578,hx_37578,c_7,false,false,false,false,false,false,true
manor_hx_37779,hx_37779,c_8,false,false,false,false,false,false,true
manor_hx_37798,hx_37798,c_6,true,true,false,false,true,false,false
manor_hx_37800,hx_37800,c_6,false,false,false,false,false,false,true
manor_hx_37816,hx_37816,c_2,false,false,false,false,false,false,true
manor_hx_37858,hx_37858,c_7,false,false,false,false,false,true,false
manor_hx_38085,hx_38085,c_6,false,false,false,false,false,true,false
manor_hx_38340,hx_38340,c_8,false,false,false,false,false,true,false
manor_hx_38348,hx_38348,c_8,false,false,false,false,false,true,false
manor_hx_38366,hx_38366,c_6,false,false,false,false,false,false,true
manor_hx_38424,hx_38424,c_7,false,false,false,false,false,false,false
manor_hx_38620,hx_38620,c_8,false,false,false,false,false,false,false
manor_hx_38910,hx_38910,c_8,false,false,false,false,false,false,true
manor_hx_38917,hx_38917,c_6,false,false,false,false,false,true,false
manor_hx_38918,hx_38918,c_6,false,false,false,false,false,false,true
manor_hx_39221,hx_39221,c_2,false,false,false,false,false,true,false
manor_hx_39260,hx_39260,c_7,true,true,false,false,true,false,false
manor_hx_39261,hx_39261,c_7,false,false,false,false,false,false,true
manor_hx_39442,hx_39442,c_8,false,false,false,false,false,false,true
